# x energy force
0.0000000000000000e+00 4.5507212327051633e+01 -5.0605556322538308e+02
1.5707963267948967e-03 4.4718470609933760e+01 -4.9820158159140863e+02
3.1415926535897933e-03 4.3942065898317253e+01 -4.9034759995743417e+02
4.7123889803846897e-03 4.3177998192202097e+01 -4.8249361832345966e+02
6.2831853071795866e-03 4.2426267491588312e+01 -4.7463963668948406e+02
7.8539816339744835e-03 4.1686873796475894e+01 -4.6678565505551069e+02
9.4247779607693795e-03 4.0959817106864818e+01 -4.5893167342153737e+02
1.0995574287564277e-02 4.0245097422755116e+01 -4.5107769178756178e+02
1.2566370614359173e-02 3.9542714744146778e+01 -4.4322371015358613e+02
1.4137166941154069e-02 3.8852669071039799e+01 -4.3536972851961281e+02
1.5707963267948967e-02 3.8174960403434184e+01 -4.2751574688563829e+02
1.7278759594743863e-02 3.7509588741329921e+01 -4.1966176525166378e+02
1.8849555921538759e-02 3.6856554084727030e+01 -4.1180778361768932e+02
2.0420352248333655e-02 3.6215856433625490e+01 -4.0395380198371481e+02
2.1991148575128554e-02 3.5587495788025322e+01 -3.9609982034974030e+02
2.3561944901923450e-02 3.4971472147926505e+01 -3.8824583871576584e+02
2.5132741228718346e-02 3.4367785513329061e+01 -3.8039185708179139e+02
2.6703537555513242e-02 3.3776435884232974e+01 -3.7253787544781687e+02
2.8274333882308138e-02 3.3197423260638253e+01 -3.6468389381384242e+02
2.9845130209103038e-02 3.2630747642544890e+01 -3.5682991217986677e+02
3.1415926535897934e-02 3.2076409029952885e+01 -3.4897593054589345e+02
3.2986722862692830e-02 3.1534407422862248e+01 -3.4112194891191893e+02
3.4557519189487726e-02 3.1004742821272970e+01 -3.3326796727794448e+02
3.6128315516282622e-02 3.0487415225185053e+01 -3.2541398564397002e+02
3.7699111843077518e-02 2.9982424634598502e+01 -3.1756000400999551e+02
3.9269908169872414e-02 2.9489771049513308e+01 -3.0970602237602105e+02
4.0840704496667310e-02 2.9009454469929477e+01 -3.0185204074204654e+02
4.2411500823462213e-02 2.8541474895847006e+01 -2.9399805910807089e+02
4.3982297150257109e-02 2.8085832327265898e+01 -2.8614407747409757e+02
4.5553093477052005e-02 2.7642526764186155e+01 -2.7829009584012420e+02
4.7123889803846901e-02 2.7211558206607769e+01 -2.7043611420614860e+02
4.8694686130641797e-02 2.6792926654530746e+01 -2.6258213257217301e+02
5.0265482457436693e-02 2.6386632107955087e+01 -2.5472815093819963e+02
5.1836278784231589e-02 2.5992674566880787e+01 -2.4687416930422518e+02
5.3407075111026485e-02 2.5611054031307852e+01 -2.3902018767025069e+02
5.4977871437821381e-02 2.5241770501236275e+01 -2.3116620603627621e+02
5.6548667764616277e-02 2.4884823976666063e+01 -2.2331222440230172e+02
5.8119464091411173e-02 2.4540214457597209e+01 -2.1545824276832721e+02
5.9690260418206076e-02 2.4207941944029717e+01 -2.0760426113435270e+02
6.1261056745000972e-02 2.3888006435963586e+01 -1.9975027950037824e+02
6.2831853071795868e-02 2.3580407933398821e+01 -1.9189629786640376e+02
6.4402649398590764e-02 2.3285146436335417e+01 -1.8404231623242930e+02
6.5973445725385660e-02 2.3002221944773371e+01 -1.7618833459845368e+02
6.7544242052180556e-02 2.2731634458712691e+01 -1.6833435296448033e+02
6.9115038378975452e-02 2.2473383978153368e+01 -1.6048037133050585e+02
7.0685834705770348e-02 2.2227470503095411e+01 -1.5262638969653136e+02
7.2256631032565244e-02 2.1993894033538812e+01 -1.4477240806255688e+02
7.3827427359360140e-02 2.1772654569483578e+01 -1.3691842642858242e+02
7.5398223686155036e-02 2.1563752110929705e+01 -1.2906444479460794e+02
