# x energy force
0.0000000000000000e+00 4.2425627084816291e+01 -5.0543412235640187e+02
1.5707963267948967e-03 4.1637861524732742e+01 -4.9758014072242293e+02
3.1415926535897933e-03 4.0862432970150550e+01 -4.8972615908844847e+02
4.7123889803846897e-03 4.0099341421069717e+01 -4.8187217745447623e+02
6.2831853071795866e-03 3.9348586877490249e+01 -4.7401819582050064e+02
7.8539816339744835e-03 3.8610169339412153e+01 -4.6616421418652499e+02
9.4247779607693795e-03 3.7884088806835408e+01 -4.5831023255255167e+02
1.0995574287564277e-02 3.7170345279760014e+01 -4.5045625091857835e+02
1.2566370614359173e-02 3.6468938758185999e+01 -4.4260226928460156e+02
1.4137166941154069e-02 3.5779869242113350e+01 -4.3474828765062711e+02
1.5707963267948967e-02 3.5103136731542051e+01 -4.2689430601665373e+02
1.7278759594743863e-02 3.4438741226472111e+01 -4.1904032438267922e+02
1.8849555921538759e-02 3.3786682726903550e+01 -4.1118634274870476e+02
2.0420352248333655e-02 3.3146961232836333e+01 -4.0333236111473025e+02
2.1991148575128554e-02 3.2519576744270481e+01 -3.9547837948075460e+02
2.3561944901923450e-02 3.1904529261205994e+01 -3.8762439784678014e+02
2.5132741228718346e-02 3.1301818783642865e+01 -3.7977041621280796e+02
2.6703537555513242e-02 3.0711445311581102e+01 -3.7191643457883231e+02
2.8274333882308138e-02 3.0133408845020696e+01 -3.6406245294485672e+02
2.9845130209103038e-02 2.9567709383961656e+01 -3.5620847131088334e+02
3.1415926535897934e-02 2.9014346928403977e+01 -3.4835448967691002e+02
3.2986722862692830e-02 2.8473321478347657e+01 -3.4050050804293323e+02
3.4557519189487726e-02 2.7944633033792705e+01 -3.3264652640895878e+02
3.6128315516282622e-02 2.7428281594739111e+01 -3.2479254477498546e+02
3.7699111843077518e-02 2.6924267161186876e+01 -3.1693856314101095e+02
3.9269908169872414e-02 2.6432589733136005e+01 -3.0908458150703649e+02
4.0840704496667310e-02 2.5953249310586497e+01 -3.0123059987306192e+02
4.2411500823462213e-02 2.5486245893538349e+01 -2.9337661823908633e+02
4.3982297150257109e-02 2.5031579481991564e+01 -2.8552263660511187e+02
4.5553093477052005e-02 2.4589250075946140e+01 -2.7766865497113963e+02
4.7123889803846901e-02 2.4159257675402074e+01 -2.6981467333716404e+02
4.8694686130641797e-02 2.3741602280359373e+01 -2.6196069170318844e+02
5.0265482457436693e-02 2.3336283890818038e+01 -2.5410671006921504e+02
5.1836278784231589e-02 2.2943302506778057e+01 -2.4625272843524058e+02
5.3407075111026485e-02 2.2562658128239445e+01 -2.3839874680126499e+02
5.4977871437821381e-02 2.2194350755202191e+01 -2.3054476516729162e+02
5.6548667764616277e-02 2.1838380387666298e+01 -2.2269078353331713e+02
5.8119464091411173e-02 2.1494747025631767e+01 -2.1483680189934151e+02
5.9690260418206076e-02 2.1163450669098598e+01 -2.0698282026536813e+02
6.1261056745000972e-02 2.0844491318066787e+01 -1.9912883863139479e+02
6.2831853071795868e-02 2.0537868972536344e+01 -1.9127485699741806e+02
6.4402649398590764e-02 2.0243583632507260e+01 -1.8342087536344360e+02
6.5973445725385660e-02 1.9961635297979537e+01 -1.7556689372947136e+02
6.7544242052180556e-02 1.9692023968953176e+01 -1.6771291209549574e+02
6.9115038378975452e-02 1.9434749645428177e+01 -1.5985893046152015e+02
7.0685834705770348e-02 1.9189812327404542e+01 -1.5200494882754677e+02
7.2256631032565244e-02 1.8957212014882263e+01 -1.4415096719357228e+02
7.3827427359360140e-02 1.8736948707861352e+01 -1.3629698555959672e+02
7.5398223686155036e-02 1.8529022406341802e+01 -1.2844300392562334e+02
7.6969020012949932e-02 1.8333433110323607e+01 -1.2058902229164887e+02
7.8539816339744828e-02 1.8150180819806781e+01 -1.1273504065767325e+02
8.0110612666539724e-02 1.7979265534791317e+01 -1.0488105902369992e+02
8.1681408993334620e-02 1.7820687255277207e+01 -9.7027077389725434e+01
8.3252205320129516e-02 1.7674445981264466e+01 -8.9173095755750921e+01
8.4823001646924426e-02 1.7540541712753082e+01 -8.1319114121776380e+01
8.6393797973719322e-02 1.7418974449743061e+01 -7.3465132487801924e+01
8.7964594300514218e-02 1.7309744192234401e+01 -6.5611150853827439e+01
8.9535390627309114e-02 1.7212850940227106e+01 -5.7757169219851825e+01
9.1106186954104010e-02 1.7128294693721173e+01 -4.9903187585878484e+01
9.2676983280898906e-02 1.7056075452716598e+01 -4.2049205951904000e+01
9.4247779607693802e-02 1.6996193217213388e+01 -3.4195224317928385e+01
9.5818575934488698e-02 1.6948647987211540e+01 -2.6341242683955038e+01
9.7389372261283594e-02 1.6913439762711047e+01 -1.8487261049980560e+01
9.8960168588078490e-02 1.6890568543711922e+01 -1.0633279416004950e+01
1.0053096491487339e-01 1.6879329520862093e+01 -5.4341223563985004e+00
1.0210176124166828e-01 1.6870793621425307e+01 -5.4341223563985004e+00
1.0367255756846318e-01 1.6862257721988520e+01 -5.4341223563985004e+00
1.0524335389525807e-01 1.6853721822551734e+01 -5.4341223563985004e+00
1.0681415022205297e-01 1.6845185923114951e+01 -5.4341223563973697e+00
1.0838494654884787e-01 1.6836650023678168e+01 -5.4341223563985004e+00
1.0995574287564276e-01 1.6828114124241381e+01 -5.4341223563985004e+00
1.1152653920243766e-01 1.6819578224804594e+01 -5.4341223563985004e+00
1.1309733552923255e-01 1.6811042325367808e+01 -5.4341223563985004e+00
1.1466813185602745e-01 1.6802506425931025e+01 -5.4341223563973697e+00
1.1623892818282235e-01 1.6793970526494242e+01 -5.4341223563984755e+00
1.1780972450961726e-01 1.6785434627057455e+01 -5.4341223563984755e+00
1.1938052083641215e-01 1.6776898727620672e+01 -5.4341223563973697e+00
1.2095131716320705e-01 1.6768362828183889e+01 -5.4341223563985004e+00
1.2252211349000194e-01 1.6759826928747103e+01 -5.4341223563985004e+00
1.2409290981679684e-01 1.6751291029310320e+01 -5.4341223563973697e+00
