# x energy force
0.0000000000000000e+00 3.2385726342112463e+01 -5.0176797273198343e+02
1.5707963267948967e-03 3.1603719556392427e+01 -4.9391399109800955e+02
3.1415926535897933e-03 3.0834049776173746e+01 -4.8606000946403509e+02
4.7123889803846897e-03 3.0076717001456426e+01 -4.7820602783006058e+02
6.2831853071795866e-03 2.9331721232240469e+01 -4.7035204619608612e+02
7.8539816339744835e-03 2.8599062468525879e+01 -4.6249806456211161e+02
9.4247779607693795e-03 2.7878740710312645e+01 -4.5464408292813715e+02
1.0995574287564277e-02 2.7170755957600768e+01 -4.4679010129416270e+02
1.2566370614359173e-02 2.6475108210390264e+01 -4.3893611966018847e+02
1.4137166941154069e-02 2.5791797468681114e+01 -4.3108213802621373e+02
1.5707963267948967e-02 2.5120823732473330e+01 -4.2322815639223921e+02
1.7278759594743863e-02 2.4462187001766900e+01 -4.1537417475826470e+02
1.8849555921538759e-02 2.3815887276561842e+01 -4.0752019312429024e+02
2.0420352248333655e-02 2.3181924556858135e+01 -3.9966621149031573e+02
2.1991148575128554e-02 2.2560298842655797e+01 -3.9181222985634122e+02
2.3561944901923450e-02 2.1951010133954817e+01 -3.8395824822236676e+02
2.5132741228718346e-02 2.1354058430755202e+01 -3.7610426658839231e+02
2.6703537555513242e-02 2.0769443733056949e+01 -3.6825028495441808e+02
2.8274333882308138e-02 2.0197166040860054e+01 -3.6039630332044334e+02
2.9845130209103038e-02 1.9637225354164524e+01 -3.5254232168646882e+02
3.1415926535897934e-02 1.9089621672970356e+01 -3.4468834005249437e+02
3.2986722862692830e-02 1.8554354997277549e+01 -3.3683435841851986e+02
3.4557519189487726e-02 1.8031425327086104e+01 -3.2898037678454540e+02
3.6128315516282622e-02 1.7520832662396018e+01 -3.2112639515057094e+02
3.7699111843077518e-02 1.7022577003207296e+01 -3.1327241351659643e+02
3.9269908169872414e-02 1.6536658349519936e+01 -3.0541843188262197e+02
4.0840704496667310e-02 1.6063076701333934e+01 -2.9756445024864774e+02
