# x energy force
0.0000000000000000e+00 3.3750355241910029e+01 -5.0222736753956593e+02
1.5707963267948967e-03 3.2967626840513688e+01 -4.9437338590559375e+02
3.1415926535897933e-03 3.2197235444618705e+01 -4.8651940427161929e+02
4.7123889803846897e-03 3.1439181054225081e+01 -4.7866542263764421e+02
6.2831853071795866e-03 3.0693463669332822e+01 -4.7081144100367032e+02
7.8539816339744835e-03 2.9960083289941931e+01 -4.6295745936969581e+02
9.4247779607693795e-03 2.9239039916052391e+01 -4.5510347773572079e+02
1.0995574287564277e-02 2.8530333547664217e+01 -4.4724949610174633e+02
1.2566370614359173e-02 2.7833964184777408e+01 -4.3939551446777239e+02
1.4137166941154069e-02 2.7149931827391960e+01 -4.3154153283379793e+02
1.5707963267948967e-02 2.6478236475507870e+01 -4.2368755119982285e+02
1.7278759594743863e-02 2.5818878129125139e+01 -4.1583356956584834e+02
1.8849555921538759e-02 2.5171856788243783e+01 -4.0797958793187445e+02
2.0420352248333655e-02 2.4537172452863771e+01 -4.0012560629789994e+02
2.1991148575128554e-02 2.3914825122985135e+01 -3.9227162466392542e+02
2.3561944901923450e-02 2.3304814798607850e+01 -3.8441764302995040e+02
2.5132741228718346e-02 2.2707141479731938e+01 -3.7656366139597594e+02
2.6703537555513242e-02 2.2121805166357380e+01 -3.6870967976200200e+02
2.8274333882308138e-02 2.1548805858484187e+01 -3.6085569812802697e+02
2.9845130209103038e-02 2.0988143556112352e+01 -3.5300171649405303e+02
3.1415926535897934e-02 2.0439818259241882e+01 -3.4514773486007857e+02
3.2986722862692830e-02 1.9903829967872774e+01 -3.3729375322610349e+02
3.4557519189487726e-02 1.9380178682005024e+01 -3.2943977159212960e+02
3.6128315516282622e-02 1.8868864401638639e+01 -3.2158578995815515e+02
3.7699111843077518e-02 1.8369887126773616e+01 -3.1373180832418007e+02
3.9269908169872414e-02 1.7883246857409951e+01 -3.0587782669020561e+02
4.0840704496667310e-02 1.7408943593547651e+01 -2.9802384505623166e+02
4.2411500823462213e-02 1.6946977335186709e+01 -2.9016986342225715e+02
4.3982297150257109e-02 1.6497348082327136e+01 -2.8231588178828213e+02
4.5553093477052005e-02 1.6060055834968917e+01 -2.7446190015430761e+02
4.7123889803846901e-02 1.5635100593112064e+01 -2.6660791852033373e+02
4.8694686130641797e-02 1.5222482356756572e+01 -2.5875393688635927e+02
5.0265482457436693e-02 1.4822201125902442e+01 -2.5089995525238476e+02
5.1836278784231589e-02 1.4434256900549673e+01 -2.4304597361840973e+02
5.3407075111026485e-02 1.4058649680698267e+01 -2.3519199198443525e+02
5.4977871437821381e-02 1.3695379466348220e+01 -2.2733801035046133e+02
5.6548667764616277e-02 1.3344446257499536e+01 -2.1948402871648628e+02
5.8119464091411173e-02 1.3005850054152214e+01 -2.1163004708251233e+02
5.9690260418206076e-02 1.2679590856306252e+01 -2.0377606544853782e+02
6.1261056745000972e-02 1.2365668663961653e+01 -1.9592208381456280e+02
6.2831853071795868e-02 1.2064083477118416e+01 -1.8806810218058888e+02
6.4402649398590764e-02 1.1774835295776541e+01 -1.8021412054661386e+02
6.5973445725385660e-02 1.1497924119936027e+01 -1.7236013891263991e+02
