# x energy force
0.0000000000000000e+00 3.6951632843493627e+01 -5.0565965456865337e+02
1.5707963267948967e-03 3.6163513018239492e+01 -4.9780567293467891e+02
3.1415926535897933e-03 3.5387730198486722e+01 -4.8995169130070445e+02
4.7123889803846897e-03 3.4624284384235303e+01 -4.8209770966672994e+02
6.2831853071795866e-03 3.3873175575485256e+01 -4.7424372803275548e+02
7.8539816339744835e-03 3.3134403772236567e+01 -4.6638974639878097e+02
9.4247779607693795e-03 3.2407968974489236e+01 -4.5853576476480652e+02
1.0995574287564277e-02 3.1693871182243271e+01 -4.5068178313083206e+02
1.2566370614359173e-02 3.0992110395498671e+01 -4.4282780149685698e+02
1.4137166941154069e-02 3.0302686614255428e+01 -4.3497381986288252e+02
1.5707963267948967e-02 2.9625599838513548e+01 -4.2711983822890858e+02
1.7278759594743863e-02 2.8960850068273022e+01 -4.1926585659493350e+02
1.8849555921538759e-02 2.8308437303533871e+01 -4.1141187496095961e+02
2.0420352248333655e-02 2.7668361544296069e+01 -4.0355789332698509e+02
2.1991148575128554e-02 2.7040622790559638e+01 -3.9570391169301058e+02
2.3561944901923450e-02 2.6425221042324562e+01 -3.8784993005903613e+02
2.5132741228718346e-02 2.5822156299590851e+01 -3.7999594842506110e+02
2.6703537555513242e-02 2.5231428562358502e+01 -3.7214196679108716e+02
2.8274333882308138e-02 2.4653037830627518e+01 -3.6428798515711270e+02
2.9845130209103038e-02 2.4086984104397892e+01 -3.5643400352313819e+02
3.1415926535897934e-02 2.3533267383669628e+01 -3.4858002188916373e+02
3.2986722862692830e-02 2.2991887668442725e+01 -3.4072604025518922e+02
3.4557519189487726e-02 2.2462844958717184e+01 -3.3287205862121476e+02
3.6128315516282622e-02 2.1946139254493005e+01 -3.2501807698724031e+02
3.7699111843077518e-02 2.1441770555770191e+01 -3.1716409535326579e+02
3.9269908169872414e-02 2.0949738862548735e+01 -3.0931011371929134e+02
4.0840704496667310e-02 2.0470044174828640e+01 -3.0145613208531682e+02
4.2411500823462213e-02 2.0002686492609907e+01 -2.9360215045134231e+02
4.3982297150257109e-02 1.9547665815892536e+01 -2.8574816881736785e+02
4.5553093477052005e-02 1.9104982144676530e+01 -2.7789418718339334e+02
4.7123889803846901e-02 1.8674635478961882e+01 -2.7004020554941889e+02
4.8694686130641797e-02 1.8256625818748596e+01 -2.6218622391544386e+02
5.0265482457436693e-02 1.7850953164036675e+01 -2.5433224228146995e+02
5.1836278784231589e-02 1.7457617514826111e+01 -2.4647826064749549e+02
5.3407075111026485e-02 1.7076618871116914e+01 -2.3862427901351987e+02
5.4977871437821381e-02 1.6707957232909074e+01 -2.3077029737954652e+02
5.6548667764616277e-02 1.6351632600202599e+01 -2.2291631574557204e+02
5.8119464091411173e-02 1.6007644972997483e+01 -2.1506233411159752e+02
5.9690260418206076e-02 1.5675994351293728e+01 -2.0720835247762301e+02
6.1261056745000972e-02 1.5356680735091336e+01 -1.9935437084364855e+02
6.2831853071795868e-02 1.5049704124390306e+01 -1.9150038920967407e+02
6.4402649398590764e-02 1.4755064519190638e+01 -1.8364640757569904e+02
6.5973445725385660e-02 1.4472761919492331e+01 -1.7579242594172513e+02
6.7544242052180556e-02 1.4202796325295386e+01 -1.6793844430775064e+02
6.9115038378975452e-02 1.3945167736599803e+01 -1.6008446267377616e+02
7.0685834705770348e-02 1.3699876153405583e+01 -1.5223048103980167e+02
7.2256631032565244e-02 1.3466921575712723e+01 -1.4437649940582719e+02
7.3827427359360140e-02 1.3246304003521225e+01 -1.3652251777185273e+02
7.5398223686155036e-02 1.3038023436831088e+01 -1.2866853613787825e+02
7.6969020012949932e-02 1.2842079875642314e+01 -1.2081455450390375e+02
7.8539816339744828e-02 1.2658473319954901e+01 -1.1296057286992927e+02
8.0110612666539724e-02 1.2487203769768850e+01 -1.0510659123595480e+02
8.1681408993334620e-02 1.2328271225084160e+01 -9.7252609601980311e+01
8.3252205320129516e-02 1.2181675685900831e+01 -8.9398627968005812e+01
8.4823001646924426e-02 1.2047417152218864e+01 -8.1544646334030702e+01
8.6393797973719322e-02 1.1925495624038261e+01 -7.3690664700056800e+01
8.7964594300514218e-02 1.1815911101359017e+01 -6.5836683066082315e+01
8.9535390627309114e-02 1.1718663584181137e+01 -5.7982701432107845e+01
9.1106186954104010e-02 1.1633753072504618e+01 -5.0128719798133368e+01
9.2676983280898906e-02 1.1561179566329461e+01 -4.2274738164157753e+01
9.4247779607693802e-02 1.1500943065655665e+01 -3.4420756530184406e+01
9.5818575934488698e-02 1.1453043570483231e+01 -2.6566774896209921e+01
9.7389372261283594e-02 1.1417481080812159e+01 -1.8712793262235444e+01
9.8960168588078490e-02 1.1394255596642449e+01 -1.0858811628260964e+01
1.0053096491487339e-01 1.1382662308622033e+01 -5.6596545686533855e+00
