# x energy force
1.0000000000000000e-02 4.1217867148915659e+01 2.5418474375658553e+02
1.0996666666666667e-02 4.0965283107385261e+01 2.5267286466561376e+02
1.1993333333333333e-02 4.0714202532329566e+01 2.5116775417524028e+02
1.2990000000000002e-02 4.0464617578834144e+01 2.4967161738748504e+02
1.3986666666666668e-02 4.0216519329770833e+01 2.4818440079976045e+02
1.4983333333333335e-02 3.9969898921176792e+01 2.4670605122841388e+02
1.5980000000000001e-02 3.9724747541937525e+01 2.4523651580691205e+02
1.6976666666666668e-02 3.9481056433471728e+01 2.4377574198397795e+02
1.7973333333333334e-02 3.9238816889418146e+01 2.4232367752154533e+02
1.8970000000000001e-02 3.8998020255324207e+01 2.4088027049305637e+02
1.9966666666666667e-02 3.8758657928336511e+01 2.3944546928158073e+02
2.0963333333333334e-02 3.8520721356893219e+01 2.3801922257787479e+02
2.1960000000000000e-02 3.8284202040418222e+01 2.3660147937863400e+02
2.2956666666666667e-02 3.8049091529017197e+01 2.3519218898463265e+02
2.3953333333333333e-02 3.7815381423175367e+01 2.3379130099897381e+02
2.4950000000000000e-02 3.7583063373457179e+01 2.3239876532515225e+02
2.5946666666666666e-02 3.7352129080207725e+01 2.3101453216538576e+02
2.6943333333333333e-02 3.7122570293255919e+01 2.2963855201884721e+02
2.7940000000000000e-02 3.6894378811619461e+01 2.2827077567973117e+02
2.8936666666666666e-02 3.6667546483211616e+01 2.2691115423568172e+02
2.9933333333333333e-02 3.6442065204549635e+01 2.2555963906595923e+02
3.0929999999999999e-02 3.6217926920464990e+01 2.2421618183968067e+02
3.1926666666666666e-02 3.5995123623815331e+01 2.2288073451414340e+02
3.2923333333333332e-02 3.5773647355198129e+01 2.2155324933307833e+02
3.3920000000000006e-02 3.5553490202666048e+01 2.2023367882493801e+02
3.4916666666666672e-02 3.5334644301444015e+01 2.1892197580121078e+02
3.5913333333333339e-02 3.5117101833647972e+01 2.1761809335472333e+02
3.6910000000000005e-02 3.4900855028005296e+01 2.1632198485799884e+02
3.7906666666666672e-02 3.4685896159576892e+01 2.1503360396154497e+02
3.8903333333333338e-02 3.4472217549480952e+01 2.1375290459217351e+02
3.9900000000000005e-02 3.4259811564618381e+01 2.1247984095145296e+02
4.0896666666666671e-02 3.4048670617399772e+01 2.1121436751398249e+02
4.1893333333333338e-02 3.3838787165474130e+01 2.0995643902577137e+02
4.2890000000000005e-02 3.3630153711459116e+01 2.0870601050268402e+02
4.3886666666666671e-02 3.3422762802672942e+01 2.0746303722876445e+02
4.4883333333333338e-02 3.3216607030867884e+01 2.0622747475463296e+02
4.5880000000000004e-02 3.3011679031965343e+01 2.0499927889595301e+02
4.6876666666666671e-02 3.2807971485792493e+01 2.0377840573184483e+02
4.7873333333333337e-02 3.2605477115820499e+01 2.0256481160325990e+02
4.8870000000000004e-02 3.2404188688904341e+01 2.0135845311143092e+02
4.9866666666666670e-02 3.2204099015024148e+01 2.0015928711637437e+02
5.0863333333333337e-02 3.2005200947028044e+01 1.9896727073533808e+02
5.1860000000000003e-02 3.1807487380376575e+01 1.9778236134118424e+02
5.2856666666666670e-02 3.1610951252888682e+01 1.9660451656094006e+02
5.3853333333333336e-02 3.1415585544489108e+01 1.9543369427432771e+02
5.4850000000000003e-02 3.1221383276957368e+01 1.9426985261210859e+02
5.5846666666666669e-02 3.1028337513678235e+01 1.9311294995471462e+02
5.6843333333333336e-02 3.0836441359393646e+01 1.9196294493074782e+02
5.7840000000000009e-02 3.0645687959956135e+01 1.9081979641542731e+02
5.8836666666666676e-02 3.0456070502083737e+01 1.8968346352918405e+02
5.9833333333333343e-02 3.0267582213116331e+01 1.8855390563617655e+02
6.0830000000000009e-02 3.0080216360773445e+01 1.8743108234285594e+02
6.1826666666666676e-02 2.9893966252913511e+01 1.8631495349647469e+02
6.2823333333333342e-02 2.9708825237294555e+01 1.8520547918370394e+02
6.3820000000000002e-02 2.9524786701336289e+01 1.8410261972920716e+02
6.4816666666666675e-02 2.9341844071883656e+01 1.8300633569413162e+02
6.5813333333333335e-02 2.9159990814971795e+01 1.8191658787482197e+02
6.6810000000000008e-02 2.8979220435592335e+01 1.8083333730135047e+02
6.7806666666666668e-02 2.8799526477461168e+01 1.7975654523611104e+02
6.8803333333333341e-02 2.8620902522787546e+01 1.7868617317249490e+02
6.9800000000000001e-02 2.8443342192044586e+01 1.7762218283344973e+02
7.0796666666666674e-02 2.8266839143741134e+01 1.7656453617013347e+02
7.1793333333333334e-02 2.8091387074195005e+01 1.7551319536056334e+02
7.2789999999999994e-02 2.7916979717307537e+01 1.7446812280826708e+02
7.3786666666666667e-02 2.7743610844339525e+01 1.7342928114091845e+02
7.4783333333333341e-02 2.7571274263688473e+01 1.7239663320901744e+02
7.5780000000000000e-02 2.7399963820667182e+01 1.7137014208454735e+02
7.6776666666666674e-02 2.7229673397283648e+01 1.7034977105966533e+02
7.7773333333333333e-02 2.7060396912022298e+01 1.6933548364538439e+02
7.8770000000000007e-02 2.6892128319626494e+01 1.6832724357027348e+02
7.9766666666666666e-02 2.6724861610882360e+01 1.6732501477916372e+02
8.0763333333333340e-02 2.6558590812403875e+01 1.6632876143184001e+02
8.1759999999999999e-02 2.6393309986419290e+01 1.6533844790177756e+02
8.2756666666666673e-02 2.6229013230558763e+01 1.6435403877486047e+02
8.3753333333333332e-02 2.6065694677643311e+01 1.6337549884812151e+02
8.4750000000000006e-02 2.5903348495474965e+01 1.6240279312848730e+02
8.5746666666666665e-02 2.5741968886628239e+01 1.6143588683150244e+02
8.6743333333333339e-02 2.5581550088242793e+01 1.6047474538009257e+02
8.7739999999999999e-02 2.5422086371817365e+01 1.5951933440337376e+02
8.8736666666666672e-02 2.5263572043004892e+01 1.5856961973536178e+02
8.9733333333333332e-02 2.5106001441408914e+01 1.5762556741376284e+02
9.0730000000000005e-02 2.4949368940381113e+01 1.5668714367880867e+02
9.1726666666666665e-02 2.4793668946820141e+01 1.5575431497197755e+02
9.2723333333333338e-02 2.4638895900971573e+01 1.5482704793484658e+02
9.3719999999999998e-02 2.4485044276229115e+01 1.5390530940788074e+02
9.4716666666666671e-02 2.4332108578936950e+01 1.5298906642923444e+02
9.5713333333333331e-02 2.4180083348193303e+01 1.5207828623360649e+02
9.6710000000000004e-02 2.4028963155655127e+01 1.5117293625102312e+02
9.7706666666666664e-02 2.3878742605344019e+01 1.5027298410571714e+02
9.8703333333333337e-02 2.3729416333453223e+01 1.4937839761494394e+02
9.9699999999999997e-02 2.3580979008155840e+01 1.4848914478783260e+02
1.0069666666666667e-01 2.3433425329414145e+01 1.4760519382426057e+02
1.0169333333333333e-01 2.3286750028790067e+01 1.4672651311368870e+02
1.0269000000000000e-01 2.3140947869256777e+01 1.4585307123404854e+02
1.0368666666666666e-01 2.2996013645011420e+01 1.4498483695061827e+02
1.0468333333333334e-01 2.2851942181288937e+01 1.4412177921489476e+02
1.0568000000000001e-01 2.2708728334177039e+01 1.4326386716349754e+02
