# x energy force
0.0000000000000000e+00 4.7558763823375429e+01 -5.0697259813567342e+02
1.5707963267948967e-03 4.6768581631188930e+01 -4.9911861650169897e+02
3.1415926535897933e-03 4.5990736444503796e+01 -4.9126463486772565e+02
4.7123889803846897e-03 4.5225228263320012e+01 -4.8341065323375113e+02
6.2831853071795866e-03 4.4472057087637594e+01 -4.7555667159977554e+02
7.8539816339744835e-03 4.3731222917456549e+01 -4.6770268996579989e+02
9.4247779607693795e-03 4.3002725752776854e+01 -4.5984870833182657e+02
1.0995574287564277e-02 4.2286565593598525e+01 -4.5199472669785325e+02
1.2566370614359173e-02 4.1582742439921560e+01 -4.4414074506387760e+02
1.4137166941154069e-02 4.0891256291745947e+01 -4.3628676342990315e+02
1.5707963267948967e-02 4.0212107149071706e+01 -4.2843278179592863e+02
1.7278759594743863e-02 3.9545295011898816e+01 -4.2057880016195526e+02
1.8849555921538759e-02 3.8890819880227298e+01 -4.1272481852798080e+02
2.0420352248333655e-02 3.8248681754057131e+01 -4.0487083689400515e+02
2.1991148575128554e-02 3.7618880633388336e+01 -3.9701685526003064e+02
2.3561944901923450e-02 3.7001416518220900e+01 -3.8916287362605732e+02
2.5132741228718346e-02 3.6396289408554821e+01 -3.8130889199208286e+02
2.6703537555513242e-02 3.5803499304390108e+01 -3.7345491035810721e+02
2.8274333882308138e-02 3.5223046205726760e+01 -3.6560092872413276e+02
2.9845130209103038e-02 3.4654930112564770e+01 -3.5774694709015711e+02
3.1415926535897934e-02 3.4099151024904145e+01 -3.4989296545618379e+02
3.2986722862692830e-02 3.3555708942744872e+01 -3.4203898382221041e+02
3.4557519189487726e-02 3.3024603866086970e+01 -3.3418500218823482e+02
3.6128315516282622e-02 3.2505835794930427e+01 -3.2633102055426036e+02
3.7699111843077518e-02 3.1999404729275248e+01 -3.1847703892028699e+02
3.9269908169872414e-02 3.1505310669121425e+01 -3.1062305728631253e+02
4.0840704496667310e-02 3.1023553614468966e+01 -3.0276907565233688e+02
4.2411500823462213e-02 3.0554133565317869e+01 -2.9491509401836237e+02
4.3982297150257109e-02 3.0097050521668137e+01 -2.8706111238438791e+02
4.5553093477052005e-02 2.9652304483519764e+01 -2.7920713075041340e+02
4.7123889803846901e-02 2.9219895450872752e+01 -2.7135314911644008e+02
4.8694686130641797e-02 2.8799823423727105e+01 -2.6349916748246449e+02
5.0265482457436693e-02 2.8392088402082816e+01 -2.5564518584848997e+02
5.1836278784231589e-02 2.7996690385939889e+01 -2.4779120421451552e+02
5.3407075111026485e-02 2.7613629375298327e+01 -2.3993722258054103e+02
5.4977871437821381e-02 2.7242905370158123e+01 -2.3208324094656768e+02
5.6548667764616277e-02 2.6884518370519281e+01 -2.2422925931259206e+02
5.8119464091411173e-02 2.6538468376381804e+01 -2.1637527767861755e+02
5.9690260418206076e-02 2.6204755387745685e+01 -2.0852129604464417e+02
6.1261056745000972e-02 2.5883379404610928e+01 -2.0066731441066972e+02
6.2831853071795868e-02 2.5574340426977535e+01 -1.9281333277669410e+02
6.4402649398590764e-02 2.5277638454845501e+01 -1.8495935114271964e+02
6.5973445725385660e-02 2.4993273488214832e+01 -1.7710536950874516e+02
6.7544242052180556e-02 2.4721245527085525e+01 -1.6925138787477067e+02
6.9115038378975452e-02 2.4461554571457576e+01 -1.6139740624079732e+02
7.0685834705770348e-02 2.4214200621330992e+01 -1.5354342460682170e+02
7.2256631032565244e-02 2.3979183676705766e+01 -1.4568944297284722e+02
7.3827427359360140e-02 2.3756503737581905e+01 -1.3783546133887501e+02
7.5398223686155036e-02 2.3546160803959406e+01 -1.2998147970489828e+02
7.6969020012949932e-02 2.3348154875838265e+01 -1.2212749807092266e+02
7.8539816339744828e-02 2.3162485953218489e+01 -1.1427351643694931e+02
8.0110612666539724e-02 2.2989154036100075e+01 -1.0641953480297484e+02
8.1681408993334620e-02 2.2828159124483019e+01 -9.8565553169001475e+01
8.3252205320129516e-02 2.2679501218367328e+01 -9.0711571535026962e+01
8.4823001646924426e-02 2.2543180317752999e+01 -8.2857589901051298e+01
8.6393797973719322e-02 2.2419196422640027e+01 -7.5003608267076842e+01
8.7964594300514218e-02 2.2307549533028421e+01 -6.7149626633103480e+01
8.9535390627309114e-02 2.2208239648918177e+01 -5.9295644999127873e+01
9.1106186954104010e-02 2.2121266770309294e+01 -5.1441663365153396e+01
