# x energy force
0.0000000000000000e+00 4.4596438291926376e+01 -5.0650045829020297e+02
1.5707963267948967e-03 4.3806997735274877e+01 -4.9864647665622624e+02
3.1415926535897933e-03 4.3029894184124743e+01 -4.9079249502225292e+02
4.7123889803846897e-03 4.2265127638475960e+01 -4.8293851338827841e+02
6.2831853071795866e-03 4.1512698098328542e+01 -4.7508453175430282e+02
7.8539816339744835e-03 4.0772605563682497e+01 -4.6723055012032944e+02
9.4247779607693795e-03 4.0044850034537802e+01 -4.5937656848635498e+02
1.0995574287564277e-02 3.9329431510894466e+01 -4.5152258685238053e+02
1.2566370614359173e-02 3.8626349992752509e+01 -4.4366860521840488e+02
1.4137166941154069e-02 3.7935605480111903e+01 -4.3581462358442928e+02
1.5707963267948967e-02 3.7257197972972662e+01 -4.2796064195045705e+02
1.7278759594743863e-02 3.6591127471334772e+01 -4.2010666031648253e+02
1.8849555921538759e-02 3.5937393975198255e+01 -4.1225267868250808e+02
2.0420352248333655e-02 3.5295997484563088e+01 -4.0439869704853356e+02
2.1991148575128554e-02 3.4666937999429294e+01 -3.9654471541455678e+02
2.3561944901923450e-02 3.4050215519796858e+01 -3.8869073378058459e+02
2.5132741228718346e-02 3.3445830045665787e+01 -3.8083675214661014e+02
2.6703537555513242e-02 3.2853781577036074e+01 -3.7298277051263449e+02
2.8274333882308138e-02 3.2274070113907719e+01 -3.6512878887866117e+02
2.9845130209103038e-02 3.1706695656280729e+01 -3.5727480724468552e+02
3.1415926535897934e-02 3.1151658204155105e+01 -3.4942082561071220e+02
3.2986722862692830e-02 3.0608957757530838e+01 -3.4156684397673769e+02
3.4557519189487726e-02 3.0078594316407937e+01 -3.3371286234276209e+02
3.6128315516282622e-02 2.9560567880786394e+01 -3.2585888070878877e+02
3.7699111843077518e-02 2.9054878450666212e+01 -3.1800489907481426e+02
3.9269908169872414e-02 2.8561526026047392e+01 -3.1015091744083981e+02
4.0840704496667310e-02 2.8080510606929934e+01 -3.0229693580686416e+02
4.2411500823462213e-02 2.7611832193313838e+01 -2.9444295417288964e+02
4.3982297150257109e-02 2.7155490785199106e+01 -2.8658897253891632e+02
4.5553093477052005e-02 2.6711486382585733e+01 -2.7873499090494181e+02
4.7123889803846901e-02 2.6279818985473721e+01 -2.7088100927096735e+02
4.8694686130641797e-02 2.5860488593863074e+01 -2.6302702763699176e+02
5.0265482457436693e-02 2.5453495207753789e+01 -2.5517304600301611e+02
5.1836278784231589e-02 2.5058838827145863e+01 -2.4731906436904393e+02
5.3407075111026485e-02 2.4676519452039301e+01 -2.3946508273506944e+02
5.4977871437821381e-02 2.4306537082434097e+01 -2.3161110110109496e+02
5.6548667764616277e-02 2.3948891718330259e+01 -2.2375711946712048e+02
5.8119464091411173e-02 2.3603583359727779e+01 -2.1590313783314485e+02
5.9690260418206076e-02 2.3270612006626660e+01 -2.0804915619917145e+02
6.1261056745000972e-02 2.2949977659026903e+01 -2.0019517456519586e+02
6.2831853071795868e-02 2.2641680316928511e+01 -1.9234119293122137e+02
6.4402649398590764e-02 2.2345719980331481e+01 -1.8448721129724805e+02
6.5973445725385660e-02 2.2062096649235809e+01 -1.7663322966327357e+02
6.7544242052180556e-02 2.1790810323641502e+01 -1.6877924802929908e+02
6.9115038378975452e-02 2.1531861003548553e+01 -1.6092526639532346e+02
7.0685834705770348e-02 2.1285248688956969e+01 -1.5307128476134898e+02
7.2256631032565244e-02 2.1050973379866743e+01 -1.4521730312737563e+02
7.3827427359360140e-02 2.0829035076277883e+01 -1.3736332149340004e+02
7.5398223686155036e-02 2.0619433778190384e+01 -1.2950933985942669e+02
7.6969020012949932e-02 2.0422169485604243e+01 -1.2165535822545220e+02
7.8539816339744828e-02 2.0237242198519468e+01 -1.1380137659147658e+02
8.0110612666539724e-02 2.0064651916936054e+01 -1.0594739495750325e+02
8.1681408993334620e-02 1.9904398640853998e+01 -9.8093413323527628e+01
8.3252205320129516e-02 1.9756482370273307e+01 -9.0239431689554252e+01
8.4823001646924426e-02 1.9620903105193978e+01 -8.2385450055579710e+01
8.6393797973719322e-02 1.9497660845616007e+01 -7.4531468421604117e+01
8.7964594300514218e-02 1.9386755591539401e+01 -6.6677486787630770e+01
8.9535390627309114e-02 1.9288187342964157e+01 -5.8823505153655155e+01
9.1106186954104010e-02 1.9201956099890275e+01 -5.0969523519681807e+01
9.2676983280898906e-02 1.9128061862317754e+01 -4.3115541885707323e+01
9.4247779607693802e-02 1.9066504630246595e+01 -3.5261560251731716e+01
9.5818575934488698e-02 1.9017284403676797e+01 -2.7407578617758368e+01
9.7389372261283594e-02 1.8980401182608357e+01 -1.9553596983782757e+01
9.8960168588078490e-02 1.8955854967041283e+01 -1.1699615349808276e+01
1.0053096491487339e-01 1.8942940947623505e+01 -6.5004582902018289e+00
1.0210176124166828e-01 1.8932730051618773e+01 -6.5004582902018289e+00
1.0367255756846318e-01 1.8922519155614040e+01 -6.5004582902018289e+00
1.0524335389525807e-01 1.8912308259609308e+01 -6.5004582902006982e+00
1.0681415022205297e-01 1.8902097363604575e+01 -6.5004582902006982e+00
1.0838494654884787e-01 1.8891886467599843e+01 -6.5004582902018289e+00
1.0995574287564276e-01 1.8881675571595110e+01 -6.5004582902006982e+00
1.1152653920243766e-01 1.8871464675590378e+01 -6.5004582902018289e+00
1.1309733552923255e-01 1.8861253779585645e+01 -6.5004582902018289e+00
1.1466813185602745e-01 1.8851042883580913e+01 -6.5004582902018289e+00
1.1623892818282235e-01 1.8840831987576180e+01 -6.5004582902017995e+00
1.1780972450961726e-01 1.8830621091571448e+01 -6.5004582902006680e+00
1.1938052083641215e-01 1.8820410195566716e+01 -6.5004582902018289e+00
1.2095131716320705e-01 1.8810199299561983e+01 -6.5004582902006982e+00
1.2252211349000194e-01 1.8799988403557251e+01 -6.5004582902006982e+00
1.2409290981679684e-01 1.8789777507552518e+01 -6.5004582902018289e+00
1.2566370614359174e-01 1.8779566611547786e+01 -6.5004582902018573e+00
1.2723450247038662e-01 1.8769355715543053e+01 -6.5004582902018280e+00
1.2880529879718153e-01 1.8759144819538321e+01 -6.5004582902006973e+00
1.3037609512397641e-01 1.8748933923533592e+01 -6.5004582902006973e+00
1.3194689145077132e-01 1.8738723027528859e+01 -6.5004582902018280e+00
1.3351768777756620e-01 1.8728512131524127e+01 -6.5004582902006982e+00
1.3508848410436111e-01 1.8718301235519395e+01 -6.5004582902006396e+00
1.3665928043115602e-01 1.8708090339514662e+01 -6.5004582902018280e+00
1.3823007675795090e-01 1.8697879443509930e+01 -6.5004582902018280e+00
1.3980087308474581e-01 1.8687668547505197e+01 -6.5004582902018280e+00
1.4137166941154070e-01 1.8677457651500465e+01 -6.5004582902006982e+00
1.4294246573833561e-01 1.8667246755495732e+01 -6.5004582902006982e+00
1.4451326206513049e-01 1.8657035859491000e+01 -6.5004582902018280e+00
1.4608405839192540e-01 1.8646824963486267e+01 -6.5004582902006973e+00
1.4765485471872028e-01 1.8636614067481535e+01 -6.5004582902018280e+00
1.4922565104551519e-01 1.8626403171476802e+01 -6.5004582902018280e+00
1.5079644737231007e-01 1.8616192275472070e+01 -6.5004582902018280e+00
1.5236724369910498e-01 1.8605981379467337e+01 -6.5004582902018280e+00
