# x energy force
1.0000000000000000e-02 5.3930471501120067e+01 2.4515010735076567e+02
1.0996666666666667e-02 5.3686766229087318e+01 2.4389057231361656e+02
1.1993333333333333e-02 5.3444313611159217e+01 2.4263642018424108e+02
1.2990000000000002e-02 5.3203107238591976e+01 2.4138974550253570e+02
1.3986666666666668e-02 5.2963139681079284e+01 2.4015050368681636e+02
1.4983333333333335e-02 5.2724403552615478e+01 2.3891865042115387e+02
1.5980000000000001e-02 5.2486891511231441e+01 2.3769414165383674e+02
1.6976666666666668e-02 5.2250596258732003e+01 2.3647693359586847e+02
1.7973333333333334e-02 5.2015510540434974e+01 2.3526698271923502e+02
1.8970000000000001e-02 5.1781627144911738e+01 2.3406424575548812e+02
1.9966666666666667e-02 5.1548938903729315e+01 2.3286867969418481e+02
2.0963333333333334e-02 5.1317438691194063e+01 2.3168024178123926e+02
2.1960000000000000e-02 5.1087119424096834e+01 2.3049888951754247e+02
2.2956666666666667e-02 5.0857974061459686e+01 2.2932458065733982e+02
2.3953333333333333e-02 5.0629995604284076e+01 2.2815727320676029e+02
2.4950000000000000e-02 5.0403177095300599e+01 2.2699692542229261e+02
2.5946666666666666e-02 5.0177511618720182e+01 2.2584349580931516e+02
2.6943333333333333e-02 4.9952992299986754e+01 2.2469694312064317e+02
2.7940000000000000e-02 4.9729612305531418e+01 2.2355722635494018e+02
2.8936666666666666e-02 4.9507364842528112e+01 2.2242430475537068e+02
2.9933333333333333e-02 4.9286243158650649e+01 2.2129813780809843e+02
3.0929999999999999e-02 4.9066240541831270e+01 2.2017868524082604e+02
3.1926666666666666e-02 4.8847350320020610e+01 2.1906590702136495e+02
3.2923333333333332e-02 4.8629565860949114e+01 2.1795976335621643e+02
3.3920000000000006e-02 4.8412880571889843e+01 2.1686021468913384e+02
3.4916666666666672e-02 4.8197287899422747e+01 2.1576722169969389e+02
3.5913333333333339e-02 4.7982781329200279e+01 2.1468074530191291e+02
3.6910000000000005e-02 4.7769354385714465e+01 2.1360074664286810e+02
3.7906666666666672e-02 4.7557000632065296e+01 2.1252718710127510e+02
3.8903333333333338e-02 4.7345713669730600e+01 2.1146002828608144e+02
3.9900000000000005e-02 4.7135487138337176e+01 2.1039923203517259e+02
4.0896666666666671e-02 4.6926314715433371e+01 2.0934476041393822e+02
4.1893333333333338e-02 4.6718190116262981e+01 2.0829657571392931e+02
4.2890000000000005e-02 4.6511107093540510e+01 2.0725464045157099e+02
4.3886666666666671e-02 4.6305059437227726e+01 2.0621891736672896e+02
4.4883333333333338e-02 4.6100040974311639e+01 2.0518936942140249e+02
4.5880000000000004e-02 4.5896045568583745e+01 2.0416595979845812e+02
4.6876666666666671e-02 4.5693067120420551e+01 2.0314865190026467e+02
4.7873333333333337e-02 4.5491099566565474e+01 2.0213740934738865e+02
4.8870000000000004e-02 4.5290136879912019e+01 2.0113219597727178e+02
4.9866666666666670e-02 4.5090173069288262e+01 2.0013297584297993e+02
5.0863333333333337e-02 4.4891202179242562e+01 1.9913971321193040e+02
5.1860000000000003e-02 4.4693218289830632e+01 1.9815237256452286e+02
5.2856666666666670e-02 4.4496215516403815e+01 1.9717091859297497e+02
5.3853333333333336e-02 4.4300188009398632e+01 1.9619531620003011e+02
5.4850000000000003e-02 4.4105129954127634e+01 1.9522553049761856e+02
5.5846666666666669e-02 4.3911035570571464e+01 1.9426152680573816e+02
5.6843333333333336e-02 4.3717899113172116e+01 1.9330327065114787e+02
5.7840000000000009e-02 4.3525714870627510e+01 1.9235072776611341e+02
5.8836666666666676e-02 4.3334477165687261e+01 1.9140386408723057e+02
5.9833333333333343e-02 4.3144180354949626e+01 1.9046264575417763e+02
6.0830000000000009e-02 4.2954818828659704e+01 1.8952703910853919e+02
6.1826666666666676e-02 4.2766387010508836e+01 1.8859701069253731e+02
6.2823333333333342e-02 4.2578879357435198e+01 1.8767252724787903e+02
6.3820000000000002e-02 4.2392290359425552e+01 1.8675355571461867e+02
6.4816666666666675e-02 4.2206614539318231e+01 1.8584006322984172e+02
6.5813333333333335e-02 4.2021846452607271e+01 1.8493201712660479e+02
6.6810000000000008e-02 4.1837980687247686e+01 1.8402938493275317e+02
6.7806666666666668e-02 4.1655011863461972e+01 1.8313213436968869e+02
6.8803333333333341e-02 4.1472934633547688e+01 1.8224023335128157e+02
6.9800000000000001e-02 4.1291743681686242e+01 1.8135364998271947e+02
7.0796666666666674e-02 4.1111433723752775e+01 1.8047235255934874e+02
7.1793333333333334e-02 4.0931999507127216e+01 1.7959630956552448e+02
7.2789999999999994e-02 4.0753435810506438e+01 1.7872548967349914e+02
7.3786666666666667e-02 4.0575737443717543e+01 1.7785986174234353e+02
7.4783333333333341e-02 4.0398899247532242e+01 1.7699939481678089e+02
7.5780000000000000e-02 4.0222916093482389e+01 1.7614405812606648e+02
7.6776666666666674e-02 4.0047782883676568e+01 1.7529382108293896e+02
7.7773333333333333e-02 3.9873494550617792e+01 1.7444865328250611e+02
7.8770000000000007e-02 3.9700046057022277e+01 1.7360852450114086e+02
7.9766666666666666e-02 3.9527432395639323e+01 1.7277340469542648e+02
8.0763333333333340e-02 3.9355648589072231e+01 1.7194326400107596e+02
8.1759999999999999e-02 3.9184689689600326e+01 1.7111807273184186e+02
8.2756666666666673e-02 3.9014550779002029e+01 1.7029780137845714e+02
8.3753333333333332e-02 3.8845226968378967e+01 1.6948242060762345e+02
8.4750000000000006e-02 3.8676713397981132e+01 1.6867190126093732e+02
8.5746666666666665e-02 3.8509005237033115e+01 1.6786621435381079e+02
8.6743333333333339e-02 3.8342097683561356e+01 1.6706533107447305e+02
8.7739999999999999e-02 3.8175985964222399e+01 1.6626922278296203e+02
8.8736666666666672e-02 3.8010665334132220e+01 1.6547786101003987e+02
8.9733333333333332e-02 3.7846131076696537e+01 1.6469121745621047e+02
9.0730000000000005e-02 3.7682378503442138e+01 1.6390926399074138e+02
9.1726666666666665e-02 3.7519402953849223e+01 1.6313197265056323e+02
9.2723333333333338e-02 3.7357199795184748e+01 1.6235931563935722e+02
9.3719999999999998e-02 3.7195764422336744e+01 1.6159126532654224e+02
9.4716666666666671e-02 3.7035092257649630e+01 1.6082779424625224e+02
9.5713333333333331e-02 3.6875178750760554e+01 1.6006887509638082e+02
9.6710000000000004e-02 3.6716019378436620e+01 1.5931448073759739e+02
9.7706666666666664e-02 3.6557609644413162e+01 1.5856458419241716e+02
9.8703333333333337e-02 3.6399945079232943e+01 1.5781915864414859e+02
9.9699999999999997e-02 3.6243021240086343e+01 1.5707817743599310e+02
1.0069666666666667e-01 3.6086833710652449e+01 1.5634161407013823e+02
1.0169333333333333e-01 3.5931378100941160e+01 1.5560944220669612e+02
1.0269000000000000e-01 3.5776650047136179e+01 1.5488163566282654e+02
1.0368666666666666e-01 3.5622645211438979e+01 1.5415816841182451e+02
1.0468333333333334e-01 3.5469359281913647e+01 1.5343901458214916e+02
1.0568000000000001e-01 3.5316787972332726e+01 1.5272414845649197e+02
1.0667666666666667e-01 3.5164927022023910e+01 1.5201354447090017e+02
1.0767333333333334e-01 3.5013772195717685e+01 1.5130717721382774e+02
1.0867000000000000e-01 3.4863319283395889e+01 1.5060502142523276e+02
1.0966666666666668e-01 3.4713564100141134e+01 1.4990705199567566e+02
1.1066333333333334e-01 3.4564502485987184e+01 1.4921324396542920e+02
1.1166000000000001e-01 3.4416130305770153e+01 1.4852357252358965e+02
1.1265666666666667e-01 3.4268443448980669e+01 1.4783801300715109e+02
1.1365333333333334e-01 3.4121437829616845e+01 1.4715654090018143e+02
1.1465000000000000e-01 3.3975109386038191e+01 1.4647913183290621e+02
1.1564666666666668e-01 3.3829454080820348e+01 1.4580576158082872e+02
1.1664333333333333e-01 3.3684467900610720e+01 1.4513640606391678e+02
1.1764000000000001e-01 3.3540146855984929e+01 1.4447104134569020e+02
1.1863666666666667e-01 3.3396486981304193e+01 1.4380964363237641e+02
1.1963333333333334e-01 3.3253484334573479e+01 1.4315218927206877e+02
1.2063000000000000e-01 3.3111134997300553e+01 1.4249865475387500e+02
1.2162666666666667e-01 3.2969435074355836e+01 1.4184901670709343e+02
1.2262333333333333e-01 3.2828380693833125e+01 1.4120325190035058e+02
1.2362000000000001e-01 3.2687968006911127e+01 1.4056133724077409e+02
1.2461666666666667e-01 3.2548193187715839e+01 1.3992324977318282e+02
1.2561333333333335e-01 3.2409052433183703e+01 1.3928896667926438e+02
1.2661000000000000e-01 3.2270541962925634e+01 1.3865846527673608e+02
1.2760666666666667e-01 3.2132658019091799e+01 1.3803172301858248e+02
1.2860333333333335e-01 3.1995396866237265e+01 1.3740871749219031e+02
1.2960000000000002e-01 3.1858754791188410e+01 1.3678942641855062e+02
1.3059666666666667e-01 3.1722728102910150e+01 1.3617382765154130e+02
1.3159333333333334e-01 3.1587313132373897e+01 1.3556189917705541e+02
