# x energy force
0.0000000000000000e+00 4.4418229183871262e+01 -5.0804678574110824e+02
1.5707963267948967e-03 4.3626359661739862e+01 -5.0019280410713151e+02
3.1415926535897933e-03 4.2846827145109827e+01 -4.9233882247315591e+02
4.7123889803846897e-03 4.2079631633981144e+01 -4.8448484083918254e+02
6.2831853071795866e-03 4.1324773128353826e+01 -4.7663085920520922e+02
7.8539816339744835e-03 4.0582251628227873e+01 -4.6877687757123471e+02
9.4247779607693795e-03 3.9852067133603278e+01 -4.6092289593725798e+02
1.0995574287564277e-02 3.9134219644480041e+01 -4.5306891430328352e+02
1.2566370614359173e-02 3.8428709160858176e+01 -4.4521493266931128e+02
1.4137166941154069e-02 3.7735535682737670e+01 -4.3736095103533569e+02
1.5707963267948967e-02 3.7054699210118521e+01 -4.2950696940136118e+02
1.7278759594743863e-02 3.6386199743000731e+01 -4.2165298776738666e+02
1.8849555921538759e-02 3.5730037281384313e+01 -4.1379900613341221e+02
2.0420352248333655e-02 3.5086211825269245e+01 -4.0594502449943883e+02
2.1991148575128554e-02 3.4454723374655543e+01 -3.9809104286546318e+02
2.3561944901923450e-02 3.3835571929543207e+01 -3.9023706123148759e+02
2.5132741228718346e-02 3.3228757489932235e+01 -3.8238307959751427e+02
2.6703537555513242e-02 3.2634280055822614e+01 -3.7452909796354089e+02
2.8274333882308138e-02 3.2052139627214359e+01 -3.6667511632956530e+02
2.9845130209103038e-02 3.1482336204107469e+01 -3.5882113469558965e+02
3.1415926535897934e-02 3.0924869786501944e+01 -3.5096715306161633e+02
3.2986722862692830e-02 3.0379740374397773e+01 -3.4311317142764295e+02
3.4557519189487726e-02 2.9846947967794968e+01 -3.3525918979366736e+02
3.6128315516282622e-02 2.9326492566693524e+01 -3.2740520815969290e+02
3.7699111843077518e-02 2.8818374171093442e+01 -3.1955122652571839e+02
3.9269908169872414e-02 2.8322592780994722e+01 -3.1169724489174394e+02
4.0840704496667310e-02 2.7839148396397359e+01 -3.0384326325777056e+02
4.2411500823462213e-02 2.7368041017301358e+01 -2.9598928162379377e+02
4.3982297150257109e-02 2.6909270643706726e+01 -2.8813529998981932e+02
4.5553093477052005e-02 2.6462837275613452e+01 -2.8028131835584708e+02
4.7123889803846901e-02 2.6028740913021537e+01 -2.7242733672187262e+02
4.8694686130641797e-02 2.5606981555930986e+01 -2.6457335508789703e+02
5.0265482457436693e-02 2.5197559204341797e+01 -2.5671937345392251e+02
5.1836278784231589e-02 2.4800473858253969e+01 -2.4886539181994806e+02
5.3407075111026485e-02 2.4415725517667507e+01 -2.4101141018597357e+02
5.4977871437821381e-02 2.4043314182582403e+01 -2.3315742855199909e+02
5.6548667764616277e-02 2.3683239852998661e+01 -2.2530344691802350e+02
5.8119464091411173e-02 2.3335502528916283e+01 -2.1744946528405012e+02
5.9690260418206076e-02 2.3000102210335260e+01 -2.0959548365007672e+02
6.1261056745000972e-02 2.2677038897255599e+01 -2.0174150201610226e+02
6.2831853071795868e-02 2.2366312589677303e+01 -1.9388752038212664e+02
6.4402649398590764e-02 2.2067923287600372e+01 -1.8603353874815105e+02
6.5973445725385660e-02 2.1781870991024800e+01 -1.7817955711417770e+02
6.7544242052180556e-02 2.1508155699950592e+01 -1.7032557548020321e+02
6.9115038378975452e-02 2.1246777414377743e+01 -1.6247159384622873e+02
7.0685834705770348e-02 2.0997736134306258e+01 -1.5461761221225424e+02
7.2256631032565244e-02 2.0761031859736132e+01 -1.4676363057827976e+02
7.3827427359360140e-02 2.0536664590667367e+01 -1.3890964894430644e+02
7.5398223686155036e-02 2.0324634327099965e+01 -1.3105566731033196e+02
7.6969020012949932e-02 2.0124941069033923e+01 -1.2320168567635521e+02
7.8539816339744828e-02 1.9937584816469247e+01 -1.1534770404238073e+02
8.0110612666539724e-02 1.9762565569405933e+01 -1.0749372240840852e+02
8.1681408993334620e-02 1.9599883327843973e+01 -9.9639740774432909e+01
8.3252205320129516e-02 1.9449538091783381e+01 -9.1785759140458381e+01
8.4823001646924426e-02 1.9311529861224148e+01 -8.3931777506483840e+01
8.6393797973719322e-02 1.9185858636166277e+01 -7.6077795872509398e+01
8.7964594300514218e-02 1.9072524416609770e+01 -6.8223814238534914e+01
8.9535390627309114e-02 1.8971527202554626e+01 -6.0369832604560429e+01
9.1106186954104010e-02 1.8882866994000842e+01 -5.2515850970585952e+01
9.2676983280898906e-02 1.8806543790948421e+01 -4.4661869336611467e+01
9.4247779607693802e-02 1.8742557593397358e+01 -3.6807887702638119e+01
9.5818575934488698e-02 1.8690908401347656e+01 -2.8953906068662508e+01
9.7389372261283594e-02 1.8651596214799316e+01 -2.1099924434686898e+01
9.8960168588078490e-02 1.8624621033752341e+01 -1.3245942800713550e+01
1.0053096491487339e-01 1.8609278048854659e+01 -8.0467857411071027e+00
1.0210176124166828e-01 1.8596638187370022e+01 -8.0467857411059711e+00
1.0367255756846318e-01 1.8583998325885389e+01 -8.0467857411059711e+00
1.0524335389525807e-01 1.8571358464400756e+01 -8.0467857411059711e+00
1.0681415022205297e-01 1.8558718602916123e+01 -8.0467857411059711e+00
1.0838494654884787e-01 1.8546078741431486e+01 -8.0467857411071027e+00
1.0995574287564276e-01 1.8533438879946853e+01 -8.0467857411048413e+00
1.1152653920243766e-01 1.8520799018462220e+01 -8.0467857411048413e+00
1.1309733552923255e-01 1.8508159156977587e+01 -8.0467857411071027e+00
1.1466813185602745e-01 1.8495519295492951e+01 -8.0467857411071027e+00
1.1623892818282235e-01 1.8482879434008314e+01 -8.0467857411059356e+00
1.1780972450961726e-01 1.8470239572523681e+01 -8.0467857411048058e+00
1.1938052083641215e-01 1.8457599711039048e+01 -8.0467857411059711e+00
