# x energy force
1.0000000000000000e-02 5.3137808561276188e+01 2.4595096672422500e+02
1.0996666666666667e-02 5.2893316244724851e+01 2.4466906648915472e+02
1.1993333333333333e-02 5.2650098813398209e+01 2.4339266861446890e+02
1.2990000000000002e-02 5.2408149732929850e+01 2.4212388082036503e+02
1.3986666666666668e-02 5.2167461441216737e+01 2.4086265773437478e+02
1.4983333333333335e-02 5.1928026421242272e+01 2.3960895425451142e+02
1.5980000000000001e-02 5.1689837200807503e+01 2.3836272554770042e+02
1.6976666666666668e-02 5.1452886352263874e+01 2.3712392704821579e+02
1.7973333333333334e-02 5.1217166492247635e+01 2.3589251445594860e+02
1.8970000000000001e-02 5.0982670281415821e+01 2.3466844373498910e+02
1.9966666666666667e-02 5.0749390424183758e+01 2.3345167111196352e+02
2.0963333333333334e-02 5.0517319668464197e+01 2.3224215307444661e+02
2.1960000000000000e-02 5.0286450805407966e+01 2.3103984636949156e+02
2.2956666666666667e-02 5.0056776669146188e+01 2.2984470800197627e+02
2.3953333333333333e-02 4.9828290136534001e+01 2.2865669523317840e+02
2.4950000000000000e-02 4.9600984126895852e+01 2.2747576557915545e+02
2.5946666666666666e-02 4.9374851601772292e+01 2.2630187680925306e+02
2.6943333333333333e-02 4.9149885564668260e+01 2.2513498694465989e+02
2.7940000000000000e-02 4.8926079060802884e+01 2.2397505425676476e+02
2.8936666666666666e-02 4.8703425176860804e+01 2.2282203726580309e+02
2.9933333333333333e-02 4.8481917040744911e+01 2.2167589473932946e+02
3.0929999999999999e-02 4.8261547821330616e+01 2.2053658569069358e+02
3.1926666666666666e-02 4.8042310728221572e+01 2.1940406937762424e+02
3.2923333333333332e-02 4.7824199011506835e+01 2.1827830530078558e+02
3.3920000000000006e-02 4.7607205961519469e+01 2.1715925320229280e+02
3.4916666666666672e-02 4.7391324908596637e+01 2.1604687306426555e+02
3.5913333333333339e-02 4.7176549222841075e+01 2.1494112510742676e+02
3.6910000000000005e-02 4.6962872313884013e+01 2.1384196978969138e+02
3.7906666666666672e-02 4.6750287630649467e+01 2.1274936780471904e+02
3.8903333333333338e-02 4.6538788661120002e+01 2.1166328008049393e+02
3.9900000000000005e-02 4.6328368932103857e+01 2.1058366777798676e+02
4.0896666666666671e-02 4.6119022009003452e+01 2.0951049228971513e+02
4.1893333333333338e-02 4.5910741495585285e+01 2.0844371523837881e+02
4.2890000000000005e-02 4.5703521033751201e+01 2.0738329847550793e+02
4.3886666666666671e-02 4.5497354303311006e+01 2.0632920408007325e+02
4.4883333333333338e-02 4.5292235021756476e+01 2.0528139435711745e+02
4.5880000000000004e-02 4.5088156944036690e+01 2.0423983183642883e+02
4.6876666666666671e-02 4.4885113862334705e+01 2.0320447927123709e+02
4.7873333333333337e-02 4.4683099605845527e+01 2.0217529963681170e+02
4.8870000000000004e-02 4.4482108040555488e+01 2.0115225612915111e+02
4.9866666666666670e-02 4.4282133069022876e+01 2.0013531216371661e+02
5.0863333333333337e-02 4.4083168630159868e+01 1.9912443137409602e+02
5.1860000000000003e-02 4.3885208699015791e+01 1.9811957761066995e+02
5.2856666666666670e-02 4.3688247286561690e+01 1.9712071493936898e+02
5.3853333333333336e-02 4.3492278439476117e+01 1.9612780764037817e+02
5.4850000000000003e-02 4.3297296239932265e+01 1.9514082020681576e+02
5.5846666666666669e-02 4.3103294805386348e+01 1.9415971734352442e+02
5.6843333333333336e-02 4.2910268288367213e+01 1.9318446396577647e+02
5.7840000000000009e-02 4.2718210876267250e+01 1.9221502519802215e+02
5.8836666666666676e-02 4.2527116791134532e+01 1.9125136637264907e+02
5.9833333333333343e-02 4.2336980289466183e+01 1.9029345302872412e+02
