# x energy force
1.0000000000000000e-02 7.6497880913981774e+01 2.1125514869741613e+02
1.0996666666666667e-02 7.6287486272655158e+01 2.1094145597137853e+02
1.1993333333333333e-02 7.6077403753893122e+01 2.1062881579191358e+02
1.2990000000000002e-02 7.5867631904280955e+01 2.1031803961711620e+02
1.3986666666666668e-02 7.5658168871565536e+01 2.1000911633355281e+02
1.4983333333333335e-02 7.5449012814537127e+01 2.0970203489401149e+02
1.5980000000000001e-02 7.5240161902963550e+01 2.0939678431717556e+02
1.6976666666666668e-02 7.5031614317524699e+01 2.0909335368721580e+02
1.7973333333333334e-02 7.4823368249747503e+01 2.0879173215331326e+02
1.8970000000000001e-02 7.4615421901941275e+01 2.0849190892942451e+02
1.9966666666666667e-02 7.4407773487133383e+01 2.0819387329377437e+02
2.0963333333333334e-02 7.4200421229005386e+01 2.0789761458848628e+02
2.1960000000000000e-02 7.3993363361829495e+01 2.0760312221931790e+02
2.2956666666666667e-02 7.3786598130405409e+01 2.0731038565509087e+02
2.3953333333333333e-02 7.3580123789997600e+01 2.0701939442745592e+02
2.4950000000000000e-02 7.3373938606272887e+01 2.0673013813049300e+02
2.5946666666666666e-02 7.3168040855238402e+01 2.0644260642029840e+02
2.6943333333333333e-02 7.2962428823179977e+01 2.0615678901467064e+02
2.7940000000000000e-02 7.2757100806600818e+01 2.0587267569266157e+02
2.8936666666666666e-02 7.2552055112160645e+01 2.0559025629430550e+02
2.9933333333333333e-02 7.2347290056615080e+01 2.0530952072021975e+02
3.0929999999999999e-02 7.2142803966755466e+01 2.0503045893119122e+02
3.1926666666666666e-02 7.1938595179349065e+01 2.0475306094787007e+02
3.2923333333333332e-02 7.1734662041079559e+01 2.0447731685045514e+02
3.3920000000000006e-02 7.1531002908487935e+01 2.0420321677823327e+02
3.4916666666666672e-02 7.1327616147913673e+01 2.0393075092930519e+02
3.5913333333333339e-02 7.1124500135436406e+01 2.0365990956020721e+02
3.6910000000000005e-02 7.0921653256817763e+01 2.0339068298556612e+02
