# x energy force
0.0000000000000000e+00 3.6051664060789108e+01 -5.0492573595821494e+02
1.5707963267948967e-03 3.5264697072192412e+01 -4.9707175432424049e+02
3.1415926535897933e-03 3.4490067089097082e+01 -4.8921777269026603e+02
4.7123889803846897e-03 3.3727774111503109e+01 -4.8136379105629152e+02
6.2831853071795866e-03 3.2977818139410502e+01 -4.7350980942231706e+02
7.8539816339744835e-03 3.2240199172819260e+01 -4.6565582778834255e+02
9.4247779607693795e-03 3.1514917211729376e+01 -4.5780184615436809e+02
1.0995574287564277e-02 3.0801972256140850e+01 -4.4994786452039364e+02
1.2566370614359173e-02 3.0101364306053689e+01 -4.4209388288641912e+02
1.4137166941154069e-02 2.9413093361467894e+01 -4.3423990125244467e+02
1.5707963267948967e-02 2.8737159422383456e+01 -4.2638591961847015e+02
1.7278759594743863e-02 2.8073562488800370e+01 -4.1853193798449564e+02
1.8849555921538759e-02 2.7422302560718663e+01 -4.1067795635052119e+02
2.0420352248333655e-02 2.6783379638138307e+01 -4.0282397471654667e+02
2.1991148575128554e-02 2.6156793721059316e+01 -3.9496999308257216e+02
2.3561944901923450e-02 2.5542544809481683e+01 -3.8711601144859770e+02
2.5132741228718346e-02 2.4940632903405419e+01 -3.7926202981462325e+02
2.6703537555513242e-02 2.4351058002830513e+01 -3.7140804818064873e+02
2.8274333882308138e-02 2.3773820107756968e+01 -3.6355406654667428e+02
2.9845130209103038e-02 2.3208919218184786e+01 -3.5570008491269977e+02
3.1415926535897934e-02 2.2656355334113968e+01 -3.4784610327872531e+02
3.2986722862692830e-02 2.2116128455544505e+01 -3.3999212164475080e+02
3.4557519189487726e-02 2.1588238582476411e+01 -3.3213814001077634e+02
3.6128315516282622e-02 2.1072685714909674e+01 -3.2428415837680245e+02
3.7699111843077518e-02 2.0569469852844300e+01 -3.1643017674282737e+02
3.9269908169872414e-02 2.0078590996280290e+01 -3.0857619510885235e+02
4.0840704496667310e-02 1.9600049145217639e+01 -3.0072221347487840e+02
4.2411500823462213e-02 1.9133844299656346e+01 -2.9286823184090389e+02
4.3982297150257109e-02 1.8679976459596421e+01 -2.8501425020693000e+02
4.5553093477052005e-02 1.8238445625037855e+01 -2.7716026857295492e+02
4.7123889803846901e-02 1.7809251795980650e+01 -2.6930628693898046e+02
4.8694686130641797e-02 1.7392394972424810e+01 -2.6145230530500658e+02
5.0265482457436693e-02 1.6987875154370329e+01 -2.5359832367103147e+02
5.1836278784231589e-02 1.6595692341817212e+01 -2.4574434203705701e+02
5.3407075111026485e-02 1.6215846534765454e+01 -2.3789036040308196e+02
5.4977871437821381e-02 1.5848337733215059e+01 -2.3003637876910804e+02
5.6548667764616277e-02 1.5493165937166026e+01 -2.2218239713513412e+02
5.8119464091411173e-02 1.5150331146618354e+01 -2.1432841550115907e+02
5.9690260418206076e-02 1.4819833361572043e+01 -2.0647443386718456e+02
6.1261056745000972e-02 1.4501672582027094e+01 -1.9862045223321064e+02
6.2831853071795868e-02 1.4195848807983507e+01 -1.9076647059923559e+02
6.4402649398590764e-02 1.3902362039441282e+01 -1.8291248896526056e+02
6.5973445725385660e-02 1.3621212276400419e+01 -1.7505850733128665e+02
6.7544242052180556e-02 1.3352399518860917e+01 -1.6720452569731216e+02
6.9115038378975452e-02 1.3095923766822779e+01 -1.5935054406333825e+02
7.0685834705770348e-02 1.2851785020286000e+01 -1.5149656242936319e+02
7.2256631032565244e-02 1.2619983279250583e+01 -1.4364258079538871e+02
7.3827427359360140e-02 1.2400518543716528e+01 -1.3578859916141425e+02
7.5398223686155036e-02 1.2193390813683834e+01 -1.2793461752743978e+02
7.6969020012949932e-02 1.1998600089152504e+01 -1.2008063589346587e+02
7.8539816339744828e-02 1.1816146370122533e+01 -1.1222665425949025e+02
8.0110612666539724e-02 1.1646029656593925e+01 -1.0437267262551634e+02
8.1681408993334620e-02 1.1488249948566679e+01 -9.6518690991541860e+01
8.3252205320129516e-02 1.1342807246040794e+01 -8.8664709357567347e+01
8.4823001646924426e-02 1.1209701549016270e+01 -8.0810727723593374e+01
8.6393797973719322e-02 1.1088932857493109e+01 -7.2956746089618349e+01
8.7964594300514218e-02 1.0980501171471309e+01 -6.5102764455643864e+01
8.9535390627309114e-02 1.0884406490950871e+01 -5.7248782821669387e+01
9.1106186954104010e-02 1.0800648815931796e+01 -4.9394801187694910e+01
9.2676983280898906e-02 1.0729228146414082e+01 -4.1540819553720425e+01
9.4247779607693802e-02 1.0670144482397728e+01 -3.3686837919745948e+01
9.5818575934488698e-02 1.0623397823882737e+01 -2.5832856285771463e+01
9.7389372261283594e-02 1.0588988170869108e+01 -1.7978874651796986e+01
9.8960168588078490e-02 1.0566915523356840e+01 -1.0124893017822505e+01
1.0053096491487339e-01 1.0556475071993868e+01 -4.9257359582149265e+00
1.0210176124166828e-01 1.0548737744043942e+01 -4.9257359582149265e+00
