# x energy force
1.0000000000000000e-02 8.1749433264159634e+01 2.2670707917313376e+02
1.0996666666666667e-02 8.1523852979176837e+01 2.2596238901977853e+02
1.1993333333333333e-02 8.1299013488779281e+01 2.2522053485491048e+02
1.2990000000000002e-02 8.1074911175550625e+01 2.2448310373103033e+02
1.3986666666666668e-02 8.0851541644334802e+01 2.2375006927731155e+02
1.4983333333333335e-02 8.0628900526180331e+01 2.2302140528014624e+02
1.5980000000000001e-02 8.0406983478184088e+01 2.2229708568221886e+02
1.6976666666666668e-02 8.0185786183335964e+01 2.2157708458157879e+02
1.7973333333333334e-02 7.9965304350364519e+01 2.2086137623067796e+02
1.8970000000000001e-02 7.9745533713583555e+01 2.2014993503545878e+02
1.9966666666666667e-02 7.9526470032739539e+01 2.1944273555453395e+02
2.0963333333333334e-02 7.9308109092859937e+01 2.1873975249816661e+02
2.1960000000000000e-02 7.9090446704102533e+01 2.1804096072739435e+02
2.2956666666666667e-02 7.8873478701605563e+01 2.1734633525315866e+02
2.3953333333333333e-02 7.8657200945338801e+01 2.1665585123532139e+02
2.4950000000000000e-02 7.8441609319955546e+01 2.1596948398190946e+02
2.5946666666666666e-02 7.8226699734645379e+01 2.1528720894820165e+02
2.6943333333333333e-02 7.8012468122987883e+01 2.1460900173574498e+02
2.7940000000000000e-02 7.7798910442807284e+01 2.1393483809154947e+02
2.8936666666666666e-02 7.7586022676027852e+01 2.1326469390730375e+02
2.9933333333333333e-02 7.7373800828530236e+01 2.1259854521835501e+02
3.0929999999999999e-02 7.7162240930008622e+01 2.1193636820293321e+02
3.1926666666666666e-02 7.6951339033828773e+01 2.1127813918137258e+02
3.2923333333333332e-02 7.6741091216886844e+01 2.1062383461514239e+02
3.3920000000000006e-02 7.6531493579469114e+01 2.0997343110604362e+02
3.4916666666666672e-02 7.6322542245112572e+01 2.0932690539536438e+02
3.5913333333333339e-02 7.6114233360466272e+01 2.0868423436309578e+02
3.6910000000000005e-02 7.5906563095153501e+01 2.0804539502709417e+02
3.7906666666666672e-02 7.5699527641634802e+01 2.0741036454220830e+02
3.8903333333333338e-02 7.5493123215071847e+01 2.0677912019949628e+02
3.9900000000000005e-02 7.5287346053192095e+01 2.0615163942541250e+02
4.0896666666666671e-02 7.5082192416154243e+01 2.0552789978098795e+02
4.1893333333333338e-02 7.4877658586414469e+01 2.0490787896103876e+02
4.2890000000000005e-02 7.4673740868593498e+01 2.0429155479342512e+02
4.3886666666666671e-02 7.4470435589344433e+01 2.0367890523813082e+02
4.4883333333333338e-02 7.4267739097221465e+01 2.0306990838655858e+02
4.5880000000000004e-02 7.4065647762549219e+01 2.0246454246075899e+02
4.6876666666666671e-02 7.3864157977292990e+01 2.0186278581259748e+02
4.7873333333333337e-02 7.3663266154929730e+01 2.0126461692305460e+02
4.8870000000000004e-02 7.3462968730319730e+01 2.0067001440134979e+02
4.9866666666666670e-02 7.3263262159579227e+01 2.0007895698427851e+02
5.0863333333333337e-02 7.3064142919953582e+01 1.9949142353541302e+02
5.1860000000000003e-02 7.2865607509691358e+01 1.9890739304431187e+02
5.2856666666666670e-02 7.2667652447919068e+01 1.9832684462583509e+02
5.3853333333333336e-02 7.2470274274516711e+01 1.9774975751935273e+02
5.4850000000000003e-02 7.2273469549994047e+01 1.9717611108800378e+02
5.5846666666666669e-02 7.2077234855367564e+01 1.9660588481796881e+02
5.6843333333333336e-02 7.1881566792038271e+01 1.9603905831773486e+02
5.7840000000000009e-02 7.1686461981670092e+01 1.9547561131739286e+02
5.8836666666666676e-02 7.1491917066069107e+01 1.9491552366787062e+02
5.9833333333333343e-02 7.1297928707063420e+01 1.9435877534019212e+02
6.0830000000000009e-02 7.1104493586383853e+01 1.9380534642483914e+02
6.1826666666666676e-02 7.0911608405545195e+01 1.9325521713098516e+02
6.2823333333333342e-02 7.0719269885728323e+01 1.9270836778580625e+02
6.3820000000000002e-02 7.0527474767662895e+01 1.9216477883378494e+02
6.4816666666666675e-02 7.0336219811510816e+01 1.9162443083594073e+02
6.5813333333333335e-02 7.0145501796750409e+01 1.9108730446923869e+02
