# x energy force
1.0000000000000000e-02 5.3979632180659472e+01 2.4832520998208426e+02
1.0996666666666667e-02 5.3732806578615985e+01 2.4697700147641544e+02
1.1993333333333333e-02 5.3487321770593816e+01 2.4563465341756509e+02
1.2990000000000002e-02 5.3243170847832438e+01 2.4430030864539941e+02
1.3986666666666668e-02 5.3000345857501699e+01 2.4297391944304431e+02
1.4983333333333335e-02 5.2758838894187448e+01 2.4165543837819462e+02
1.5980000000000001e-02 5.2518642099608833e+01 2.4034481830130804e+02
1.6976666666666668e-02 5.2279747662337293e+01 2.3904201234392619e+02
1.7973333333333334e-02 5.2042147817517240e+01 2.3774697391704530e+02
1.8970000000000001e-02 5.1805834846588375e+01 2.3645965670944432e+02
1.9966666666666667e-02 5.1570801077009641e+01 2.3518001468601352e+02
2.0963333333333334e-02 5.1337038881984874e+01 2.3390800208609295e+02
2.1960000000000000e-02 5.1104540680190063e+01 2.3264357342188325e+02
2.2956666666666667e-02 5.0873298935502220e+01 2.3138668347680169e+02
2.3953333333333333e-02 5.0643306156729899e+01 2.3013728730377846e+02
2.4950000000000000e-02 5.0414554897345333e+01 2.2889534022377842e+02
2.5946666666666666e-02 5.0187037755218093e+01 2.2766079782419180e+02
2.6943333333333333e-02 4.9960747372350397e+01 2.2643361595714200e+02
2.7940000000000000e-02 4.9735676434614007e+01 2.2521375073795997e+02
2.8936666666666666e-02 4.9511817671488657e+01 2.2400115854368011e+02
2.9933333333333333e-02 4.9289163855802052e+01 2.2279579601137431e+02
3.0929999999999999e-02 4.9067707803471450e+01 2.2159762003665716e+02
3.1926666666666666e-02 4.8847442373246714e+01 2.2040658777218289e+02
3.2923333333333332e-02 4.8628360466454943e+01 2.1922265662602433e+02
3.3920000000000006e-02 4.8410455026746632e+01 2.1804578426021743e+02
3.4916666666666672e-02 4.8193719039843344e+01 2.1687592858918515e+02
3.5913333333333339e-02 4.7978145533286877e+01 2.1571304777830213e+02
3.6910000000000005e-02 4.7763727576189901e+01 2.1455710024238923e+02
3.7906666666666672e-02 4.7550458278988110e+01 2.1340804464414998e+02
3.8903333333333338e-02 4.7338330793193862e+01 2.1226583989280303e+02
3.9900000000000005e-02 4.7127338311151263e+01 2.1113044514251931e+02
4.0896666666666671e-02 4.6917474065792732e+01 2.1000181979098380e+02
4.1893333333333338e-02 4.6708731330397015e+01 2.0887992347801480e+02
4.2890000000000005e-02 4.6501103418348592e+01 2.0776471608403867e+02
4.3886666666666671e-02 4.6294583682898590e+01 2.0665615772867108e+02
4.4883333333333338e-02 4.6089165516927110e+01 2.0555420876927704e+02
4.5880000000000004e-02 4.5884842352706940e+01 2.0445882979963091e+02
4.6876666666666671e-02 4.5681607661668650e+01 2.0336998164843965e+02
4.7873333333333337e-02 4.5479454954167188e+01 2.0228762537790382e+02
4.8870000000000004e-02 4.5278377779249766e+01 2.0121172228246991e+02
4.9866666666666670e-02 4.5078369724425180e+01 2.0014223388727103e+02
5.0863333333333337e-02 4.4879424415434514e+01 1.9907912194683959e+02
5.1860000000000003e-02 4.4681535516023182e+01 1.9802234844379586e+02
5.2856666666666670e-02 4.4484696727714315e+01 1.9697187558737437e+02
5.3853333333333336e-02 4.4288901789583555e+01 1.9592766581213971e+02
5.4850000000000003e-02 4.4094144478035155e+01 1.9488968177661820e+02
5.5846666666666669e-02 4.3900418606579422e+01 1.9385788636197168e+02
5.6843333333333336e-02 4.3707718025611484e+01 1.9283224267068147e+02
5.7840000000000009e-02 4.3516036622191365e+01 1.9181271402520355e+02
5.8836666666666676e-02 4.3325368319825408e+01 1.9079926396668967e+02
5.9833333333333343e-02 4.3135707078248920e+01 1.8979185625368541e+02
6.0830000000000009e-02 4.2947046893210235e+01 1.8879045486072945e+02
6.1826666666666676e-02 4.2759381796256001e+01 1.8779502397719688e+02
6.2823333333333342e-02 4.2572705854517686e+01 1.8680552800604426e+02
6.3820000000000002e-02 4.2387013170499436e+01 1.8582193156235257e+02
6.4816666666666675e-02 4.2202297881867217e+01 1.8484419947220476e+02
6.5813333333333335e-02 4.2018554161239130e+01 1.8387229677145504e+02
6.6810000000000008e-02 4.1835776215977027e+01 1.8290618870433917e+02
6.7806666666666668e-02 4.1653958287979407e+01 1.8194584072233357e+02
6.8803333333333341e-02 4.1473094653475449e+01 1.8099121848293541e+02
6.9800000000000001e-02 4.1293179622820347e+01 1.8004228784837608e+02
7.0796666666666674e-02 4.1114207540291837e+01 1.7909901488442014e+02
7.1793333333333334e-02 4.0936172783887969e+01 1.7816136585912943e+02
7.2789999999999994e-02 4.0759069765126057e+01 1.7722930724169515e+02
7.3786666666666667e-02 4.0582892928842810e+01 1.7630280570126868e+02
7.4783333333333341e-02 4.0407636752995678e+01 1.7538182810567952e+02
7.5780000000000000e-02 4.0233295748465416e+01 1.7446634152027409e+02
7.6776666666666674e-02 4.0059864458859742e+01 1.7355631320683310e+02
7.7773333333333333e-02 3.9887337460318243e+01 1.7265171062225932e+02
7.8770000000000007e-02 3.9715709361318432e+01 1.7175250141749723e+02
7.9766666666666666e-02 3.9544974802482898e+01 1.7085865343642612e+02
8.0763333333333340e-02 3.9375128456387664e+01 1.6997013471454193e+02
8.1759999999999999e-02 3.9206165027371725e+01 1.6908691347798148e+02
8.2756666666666673e-02 3.9038079251347604e+01 1.6820895814231909e+02
8.3753333333333332e-02 3.8870865895613164e+01 1.6733623731141410e+02
8.4750000000000006e-02 3.8704519758664432e+01 1.6646871977634302e+02
8.5746666666666665e-02 3.8539035670009618e+01 1.6560637451424958e+02
8.6743333333333339e-02 3.8374408489984219e+01 1.6474917068722081e+02
8.7739999999999999e-02 3.8210633109567219e+01 1.6389707764121530e+02
8.8736666666666672e-02 3.8047704450198374e+01 1.6305006490496405e+02
8.9733333333333332e-02 3.7885617463596617e+01 1.6220810218885939e+02
9.0730000000000005e-02 3.7724367131579520e+01 1.6137115938390619e+02
9.1726666666666665e-02 3.7563948465883840e+01 1.6053920656059955e+02
9.2723333333333338e-02 3.7404356507987146e+01 1.5971221396788022e+02
9.3719999999999998e-02 3.7245586328930500e+01 1.5889015203208305e+02
9.4716666666666671e-02 3.7087633029142175e+01 1.5807299135586038e+02
9.5713333333333331e-02 3.6930491738262461e+01 1.5726070271714497e+02
9.6710000000000004e-02 3.6774157614969482e+01 1.5645325706809106e+02
9.7706666666666664e-02 3.6618625846806097e+01 1.5565062553401597e+02
9.8703333333333337e-02 3.6463891650007795e+01 1.5485277941241256e+02
9.9699999999999997e-02 3.6309950269331601e+01 1.5405969017192635e+02
1.0069666666666667e-01 3.6156796977886032e+01 1.5327132945128207e+02
1.0169333333333333e-01 3.6004427076962095e+01 1.5248766905829004e+02
1.0269000000000000e-01 3.5852835895865233e+01 1.5170868096886153e+02
1.0368666666666666e-01 3.5702018791748287e+01 1.5093433732601127e+02
1.0468333333333334e-01 3.5551971149445485e+01 1.5016461043880767e+02
1.0568000000000001e-01 3.5402688381307399e+01 1.4939947278142390e+02
1.0667666666666667e-01 3.5254165927036887e+01 1.4863889699218529e+02
1.0767333333333334e-01 3.5106399253525993e+01 1.4788285587248572e+02
1.0867000000000000e-01 3.4959383854693890e+01 1.4713132238592067e+02
1.0966666666666668e-01 3.4813115251325684e+01 1.4638426965729585e+02
1.1066333333333334e-01 3.4667588990912272e+01 1.4564167097162311e+02
1.1166000000000001e-01 3.4522800647491103e+01 1.4490349977318957e+02
1.1265666666666667e-01 3.4378745821487925e+01 1.4416972966462407e+02
1.1365333333333334e-01 3.4235420139559416e+01 1.4344033440596280e+02
1.1465000000000000e-01 3.4092819254436812e+01 1.4271528791364068e+02
1.1564666666666668e-01 3.3950938844770462e+01 1.4199456425963641e+02
1.1664333333333333e-01 3.3809774614975261e+01 1.4127813767053408e+02
1.1764000000000001e-01 3.3669322295077052e+01 1.4056598252653271e+02
1.1863666666666667e-01 3.3529577640559957e+01 1.3985807336061242e+02
1.1963333333333334e-01 3.3390536432214546e+01 1.3915438485760706e+02
1.2063000000000000e-01 3.3252194475986975e+01 1.3845489185323831e+02
1.2162666666666667e-01 3.3114547602829020e+01 1.3775956933328945e+02
1.2262333333333333e-01 3.2977591668548968e+01 1.3706839243270244e+02
1.2362000000000001e-01 3.2841322553663410e+01 1.3638133643463391e+02
1.2461666666666667e-01 3.2705736163249966e+01 1.3569837676960225e+02
1.2561333333333335e-01 3.2570828426800816e+01 1.3501948901464041e+02
1.2661000000000000e-01 3.2436595298077151e+01 1.3434464889238902e+02
1.2760666666666667e-01 3.2303032754964448e+01 1.3367383227022322e+02
1.2860333333333335e-01 3.2170136799328681e+01 1.3300701515940227e+02
1.2960000000000002e-01 3.2037903456873330e+01 1.3234417371421429e+02
1.3059666666666667e-01 3.1906328776997242e+01 1.3168528423111977e+02
1.3159333333333334e-01 3.1775408832653365e+01 1.3103032314789473e+02
1.3259000000000001e-01 3.1645139720208327e+01 1.3037926704281807e+02
1.3358666666666669e-01 3.1515517559302815e+01 1.2973209263379408e+02
1.3458333333333333e-01 3.1386538492712837e+01 1.2908877677753503e+02
1.3558000000000001e-01 3.1258198686211774e+01 1.2844929646874431e+02
1.3657666666666668e-01 3.1130494328433269e+01 1.2781362883929370e+02
1.3757333333333335e-01 3.1003421630734913e+01 1.2718175115740270e+02
1.3857000000000003e-01 3.0876976827062787e+01 1.2655364082679081e+02
1.3956666666666670e-01 3.0751156173816785e+01 1.2592927538592174e+02
1.4056333333333335e-01 3.0625955949716722e+01 1.2530863250718501e+02
1.4156000000000002e-01 3.0501372455669262e+01 1.2469168999607641e+02
1.4255666666666669e-01 3.0377402014635653e+01 1.2407842579042790e+02
1.4355333333333337e-01 3.0254040971500217e+01 1.2346881795960746e+02
1.4455000000000001e-01 3.0131285692939656e+01 1.2286284470373140e+02
1.4554666666666669e-01 3.0009132567293104e+01 1.2226048435289060e+02
1.4654333333333336e-01 2.9887578004432996e+01 1.2166171536638603e+02
1.4754000000000003e-01 2.9766618435636662e+01 1.2106651633194274e+02
1.4853666666666668e-01 2.9646250313458719e+01 1.2047486596494204e+02
1.4953333333333335e-01 2.9526470111604198e+01 1.1988674310767428e+02
1.5053000000000002e-01 2.9407274324802469e+01 1.1930212672857044e+02
1.5152666666666670e-01 2.9288659468681871e+01 1.1872099592145975e+02
1.5252333333333334e-01 2.9170622079645113e+01 1.1814332990481716e+02
1.5352000000000002e-01 2.9053158714745400e+01 1.1756910802102723e+02
1.5451666666666669e-01 2.8936265951563335e+01 1.1699830973562067e+02
1.5551333333333336e-01 2.8819940388084532e+01 1.1643091463655909e+02
1.5651000000000001e-01 2.8704178642577943e+01 1.1586690243352530e+02
1.5750666666666668e-01 2.8588977353474917e+01 1.1530625295715981e+02
1.5850333333333336e-01 2.8474333179249015e+01 1.1474894615836249e+02
1.5950000000000003e-01 2.8360242798296497e+01 1.1419496210755848e+02
1.6049666666666668e-01 2.8246702908817550e+01 1.1364428099401268e+02
1.6149333333333335e-01 2.8133710228698199e+01 1.1309688312508669e+02
1.6249000000000002e-01 2.8021261495392963e+01 1.1255274892555367e+02
1.6348666666666670e-01 2.7909353465808159e+01 1.1201185893692984e+02
1.6448333333333334e-01 2.7797982916185934e+01 1.1147419381670856e+02
1.6548000000000002e-01 2.7687146641988978e+01 1.1093973433771448e+02
1.6647666666666669e-01 2.7576841457785953e+01 1.1040846138741506e+02
1.6747333333333336e-01 2.7467064197137557e+01 1.0988035596722681e+02
1.6847000000000001e-01 2.7357811712483290e+01 1.0935539919183952e+02
1.6946666666666668e-01 2.7249080875028902e+01 1.0883357228853657e+02
1.7046333333333336e-01 2.7140868574634503e+01 1.0831485659654057e+02
1.7146000000000003e-01 2.7033171719703351e+01 1.0779923356630871e+02
1.7245666666666670e-01 2.6925987237071283e+01 1.0728668475890650e+02
1.7345333333333335e-01 2.6819312071896832e+01 1.0677719184535067e+02
1.7445000000000002e-01 2.6713143187551953e+01 1.0627073660591147e+02
1.7544666666666670e-01 2.6607477565513470e+01 1.0576730092950122e+02
1.7644333333333337e-01 2.6502312205255116e+01 1.0526686681301395e+02
1.7744000000000001e-01 2.6397644124140232e+01 1.0476941636067353e+02
1.7843666666666669e-01 2.6293470357315098e+01 1.0427493178340842e+02
1.7943333333333336e-01 2.6189787957602924e+01 1.0378339539821006e+02
1.8043000000000003e-01 2.6086593995398445e+01 1.0329478962749955e+02
1.8142666666666668e-01 2.5983885558563166e+01 1.0280909699848452e+02
1.8242333333333335e-01 2.5881659752321212e+01 1.0232630014255524e+02
1.8342000000000003e-01 2.5779913699155827e+01 1.0184638179466965e+02
1.8441666666666670e-01 2.5678644538706450e+01 1.0136932479270956e+02
1.8541333333333335e-01 2.5577849427666443e+01 1.0089511207687310e+02
1.8641000000000002e-01 2.5477525539681405e+01 1.0042372668908682e+02
1.8740666666666669e-01 2.5377670065248108e+01 9.9955151772379907e+01
1.8840333333333337e-01 2.5278280211614014e+01 9.9489370570278155e+01
1.8940000000000001e-01 2.5179353202677429e+01 9.9026366426215731e+01
1.9039666666666669e-01 2.5080886278888197e+01 9.8566122782947389e+01
1.9139333333333336e-01 2.4982876697149035e+01 9.8108623181929602e+01
1.9239000000000003e-01 2.4885321730717440e+01 9.7653851262743515e+01
1.9338666666666668e-01 2.4788218669108179e+01 9.7201790762533037e+01
1.9438333333333335e-01 2.4691564817996344e+01 9.6752425515392119e+01
1.9538000000000003e-01 2.4595357499121029e+01 9.6305739451796171e+01
1.9637666666666670e-01 2.4499594050189529e+01 9.5861716598031549e+01
1.9737333333333335e-01 2.4404271824782157e+01 9.5420341075630674e+01
1.9837000000000002e-01 2.4309388192257575e+01 9.4981597100782068e+01
1.9936666666666669e-01 2.4214940537658766e+01 9.4545468983786932e+01
2.0036333333333337e-01 2.4120926261619474e+01 9.4111941128501400e+01
2.0136000000000004e-01 2.4027342780271283e+01 9.3680998031748160e+01
2.0235666666666668e-01 2.3934187525151209e+01 9.3252624282787721e+01
2.0335333333333336e-01 2.3841457943109837e+01 9.2826804562774072e+01
2.0435000000000003e-01 2.3749151496220033e+01 9.2403523644186080e+01
2.0534666666666671e-01 2.3657265661686189e+01 9.1982766390284212e+01
2.0634333333333335e-01 2.3565797931753995e+01 9.1564517754591861e+01
2.0734000000000002e-01 2.3474745813620753e+01 9.1148762780337194e+01
2.0833666666666670e-01 2.3384106829346265e+01 9.0735486599907844e+01
2.0933333333333337e-01 2.3293878515764192e+01 9.0324674434350456e+01
2.1033000000000002e-01 2.3204058424393981e+01 8.9916311592830354e+01
2.1132666666666669e-01 2.3114644121353294e+01 8.9510383472091448e+01
2.1232333333333336e-01 2.3025633187270991e+01 8.9106875555941130e+01
2.1332000000000004e-01 2.2937023217200601e+01 8.8705773414742623e+01
2.1431666666666668e-01 2.2848811820534319e+01 8.8307062704889191e+01
2.1531333333333336e-01 2.2760996620917517e+01 8.7910729168290516e+01
2.1631000000000003e-01 2.2673575256163769e+01 8.7516758631873628e+01
2.1730666666666670e-01 2.2586545378170367e+01 8.7125137007059237e+01
2.1830333333333335e-01 2.2499904652834367e+01 8.6735850289264746e+01
2.1930000000000002e-01 2.2413650759969109e+01 8.6348884557404403e+01
2.2029666666666670e-01 2.2327781393221255e+01 8.5964225973408517e+01
2.2129333333333337e-01 2.2242294259988292e+01 8.5581860781697543e+01
2.2229000000000002e-01 2.2157187081336577e+01 8.5201775308699851e+01
2.2328666666666669e-01 2.2072457591919818e+01 8.4823955962383664e+01
2.2428333333333336e-01 2.1988103539898081e+01 8.4448389231738574e+01
2.2528000000000004e-01 2.1904122686857246e+01 8.4075061686321746e+01
2.2627666666666668e-01 2.1820512807728974e+01 8.3703959975762331e+01
2.2727333333333335e-01 2.1737271690711125e+01 8.3335070829286849e+01
2.2827000000000003e-01 2.1654397137188671e+01 8.2968381055235966e+01
2.2926666666666670e-01 2.1571886961655078e+01 8.2603877540602113e+01
2.3026333333333335e-01 2.1489738991634141e+01 8.2241547250576531e+01
2.3126000000000002e-01 2.1407951067602294e+01 8.1881377228047768e+01
2.3225666666666669e-01 2.1326521042911388e+01 8.1523354593165223e+01
2.3325333333333337e-01 2.1245446783711930e+01 8.1167466542866038e+01
2.3425000000000004e-01 2.1164726168876776e+01 8.0813700350417847e+01
2.3524666666666669e-01 2.1084357089925273e+01 8.0462043364978044e+01
2.3624333333333336e-01 2.1004337450947848e+01 8.0112483011125292e+01
2.3724000000000003e-01 2.0924665168531074e+01 7.9765006788417637e+01
2.3823666666666671e-01 2.0845338171683167e+01 7.9419602270929673e+01
2.3923333333333335e-01 2.0766354401759916e+01 7.9076257106834362e+01
2.4023000000000003e-01 2.0687711812391068e+01 7.8734959017945044e+01
2.4122666666666670e-01 2.0609408369407152e+01 7.8395695799275927e+01
2.4222333333333337e-01 2.0531442050766731e+01 7.8058455318623714e+01
2.4322000000000002e-01 2.0453810846484096e+01 7.7723225516100769e+01
2.4421666666666669e-01 2.0376512758557382e+01 7.7389994403726249e+01
