# x energy force
0.0000000000000000e+00 4.6323527040720720e+01 -5.0641728945177152e+02
1.5707963267948967e-03 4.5534217125375129e+01 -4.9856330781779934e+02
3.1415926535897933e-03 4.4757244215530896e+01 -4.9070932618382602e+02
4.7123889803846897e-03 4.3992608311188022e+01 -4.8285534454985151e+02
6.2831853071795866e-03 4.3240309412346512e+01 -4.7500136291587705e+02
7.8539816339744835e-03 4.2500347519006368e+01 -4.6714738128190254e+02
9.4247779607693795e-03 4.1772722631167582e+01 -4.5929339964792808e+02
1.0995574287564277e-02 4.1057434748830147e+01 -4.5143941801395363e+02
1.2566370614359173e-02 4.0354483871994091e+01 -4.4358543637997911e+02
1.4137166941154069e-02 3.9663870000659387e+01 -4.3573145474600466e+02
1.5707963267948967e-02 3.8985593134826047e+01 -4.2787747311203015e+02
1.7278759594743863e-02 3.8319653274494065e+01 -4.2002349147805563e+02
1.8849555921538759e-02 3.7666050419663456e+01 -4.1216950984408118e+02
2.0420352248333655e-02 3.7024784570334191e+01 -4.0431552821010553e+02
2.1991148575128554e-02 3.6395855726506305e+01 -3.9646154657613101e+02
2.3561944901923450e-02 3.5779263888179770e+01 -3.8860756494215883e+02
2.5132741228718346e-02 3.5175009055354600e+01 -3.8075358330818324e+02
2.6703537555513242e-02 3.4583091228030796e+01 -3.7289960167420759e+02
2.8274333882308138e-02 3.4003510406208349e+01 -3.6504562004023313e+02
2.9845130209103038e-02 3.3436266589887268e+01 -3.5719163840625862e+02
3.1415926535897934e-02 3.2881359779067544e+01 -3.4933765677228644e+02
3.2986722862692830e-02 3.2338789973749186e+01 -3.4148367513831079e+02
3.4557519189487726e-02 3.1808557173932186e+01 -3.3362969350433519e+02
3.6128315516282622e-02 3.1290661379616544e+01 -3.2577571187036187e+02
3.7699111843077518e-02 3.0785102590802271e+01 -3.1792173023638736e+02
3.9269908169872414e-02 3.0291880807489356e+01 -3.1006774860241291e+02
4.0840704496667310e-02 2.9810996029677803e+01 -3.0221376696843834e+02
4.2411500823462213e-02 2.9342448257367611e+01 -2.9435978533446382e+02
4.3982297150257109e-02 2.8886237490558784e+01 -2.8650580370048942e+02
4.5553093477052005e-02 2.8442363729251316e+01 -2.7865182206651491e+02
4.7123889803846901e-02 2.8010826973445209e+01 -2.7079784043254045e+02
4.8694686130641797e-02 2.7591627223140463e+01 -2.6294385879856600e+02
5.0265482457436693e-02 2.7184764478337083e+01 -2.5508987716459035e+02
5.1836278784231589e-02 2.6790238739035065e+01 -2.4723589553061475e+02
5.3407075111026485e-02 2.6408050005234411e+01 -2.3938191389664252e+02
5.4977871437821381e-02 2.6038198276935113e+01 -2.3152793226266917e+02
5.6548667764616277e-02 2.5680683554137175e+01 -2.2367395062869244e+02
5.8119464091411173e-02 2.5335505836840607e+01 -2.1581996899471793e+02
5.9690260418206076e-02 2.5002665125045393e+01 -2.0796598736074569e+02
6.1261056745000972e-02 2.4682161418751541e+01 -2.0011200572677006e+02
6.2831853071795868e-02 2.4373994717959054e+01 -1.9225802409279447e+02
6.4402649398590764e-02 2.4078165022667925e+01 -1.8440404245882112e+02
6.5973445725385660e-02 2.3794672332878161e+01 -1.7655006082484664e+02
6.7544242052180556e-02 2.3523516648589759e+01 -1.6869607919087215e+02
6.9115038378975452e-02 2.3264697969802715e+01 -1.6084209755689767e+02
7.0685834705770348e-02 2.3018216296517036e+01 -1.5298811592292319e+02
7.2256631032565244e-02 2.2784071628732715e+01 -1.4513413428894870e+02
7.3827427359360140e-02 2.2562263966449759e+01 -1.3728015265497424e+02
7.5398223686155036e-02 2.2352793309668165e+01 -1.2942617102099976e+02
7.6969020012949932e-02 2.2155659658387929e+01 -1.2157218938702529e+02
7.8539816339744828e-02 2.1970863012609058e+01 -1.1371820775304967e+02
8.0110612666539724e-02 2.1798403372331553e+01 -1.0586422611907520e+02
8.1681408993334620e-02 2.1638280737555402e+01 -9.8010244485102973e+01
8.3252205320129516e-02 2.1490495108280616e+01 -9.0156262851127337e+01
8.4823001646924426e-02 2.1355046484507191e+01 -8.2302281217150536e+01
8.6393797973719322e-02 2.1231934866235129e+01 -7.4448299583177203e+01
8.7964594300514218e-02 2.1121160253464428e+01 -6.6594317949204978e+01
8.9535390627309114e-02 2.1022722646195088e+01 -5.8740336315229378e+01
9.1106186954104010e-02 2.0936622044427111e+01 -5.0886354681253771e+01
9.2676983280898906e-02 2.0862858448160495e+01 -4.3032373047280416e+01
9.4247779607693802e-02 2.0801431857395240e+01 -3.5178391413305938e+01
9.5818575934488698e-02 2.0752342272131347e+01 -2.7324409779331454e+01
9.7389372261283594e-02 2.0715589692368813e+01 -1.9470428145356976e+01
9.8960168588078490e-02 2.0691174118107643e+01 -1.1616446511382497e+01
1.0053096491487339e-01 2.0678390739995770e+01 -6.4172894517749182e+00
1.0210176124166828e-01 2.0668310485296942e+01 -6.4172894517749182e+00
1.0367255756846318e-01 2.0658230230598114e+01 -6.4172894517749182e+00
1.0524335389525807e-01 2.0648149975899287e+01 -6.4172894517749182e+00
1.0681415022205297e-01 2.0638069721200459e+01 -6.4172894517737875e+00
1.0838494654884787e-01 2.0627989466501631e+01 -6.4172894517737875e+00
1.0995574287564276e-01 2.0617909211802804e+01 -6.4172894517760488e+00
1.1152653920243766e-01 2.0607828957103976e+01 -6.4172894517749173e+00
1.1309733552923255e-01 2.0597748702405148e+01 -6.4172894517737875e+00
1.1466813185602745e-01 2.0587668447706324e+01 -6.4172894517737875e+00
1.1623892818282235e-01 2.0577588193007497e+01 -6.4172894517748897e+00
1.1780972450961726e-01 2.0567507938308669e+01 -6.4172894517748897e+00
1.1938052083641215e-01 2.0557427683609841e+01 -6.4172894517737875e+00
1.2095131716320705e-01 2.0547347428911014e+01 -6.4172894517749182e+00
1.2252211349000194e-01 2.0537267174212186e+01 -6.4172894517749182e+00
1.2409290981679684e-01 2.0527186919513358e+01 -6.4172894517749182e+00
1.2566370614359174e-01 2.0517106664814531e+01 -6.4172894517749466e+00
1.2723450247038662e-01 2.0507026410115703e+01 -6.4172894517749182e+00
1.2880529879718153e-01 2.0496946155416875e+01 -6.4172894517749182e+00
1.3037609512397641e-01 2.0486865900718048e+01 -6.4172894517749182e+00
1.3194689145077132e-01 2.0476785646019220e+01 -6.4172894517749182e+00
1.3351768777756620e-01 2.0466705391320392e+01 -6.4172894517749182e+00
1.3508848410436111e-01 2.0456625136621565e+01 -6.4172894517737307e+00
1.3665928043115602e-01 2.0446544881922737e+01 -6.4172894517737875e+00
1.3823007675795090e-01 2.0436464627223909e+01 -6.4172894517760488e+00
1.3980087308474581e-01 2.0426384372525082e+01 -6.4172894517749173e+00
1.4137166941154070e-01 2.0416304117826254e+01 -6.4172894517737875e+00
1.4294246573833561e-01 2.0406223863127426e+01 -6.4172894517737875e+00
1.4451326206513049e-01 2.0396143608428602e+01 -6.4172894517737875e+00
1.4608405839192540e-01 2.0386063353729774e+01 -6.4172894517760488e+00
1.4765485471872028e-01 2.0375983099030947e+01 -6.4172894517749182e+00
