# x energy force
0.0000000000000000e+00 4.3890026974571953e+01 -5.0615711659875819e+02
1.5707963267948967e-03 4.3101125737788209e+01 -4.9830313496478374e+02
3.1415926535897933e-03 4.2324561506505830e+01 -4.9044915333081042e+02
4.7123889803846897e-03 4.1560334280724803e+01 -4.8259517169683591e+02
6.2831853071795866e-03 4.0808444060445147e+01 -4.7474119006286031e+02
7.8539816339744835e-03 4.0068890845666857e+01 -4.6688720842888580e+02
9.4247779607693795e-03 3.9341674636389911e+01 -4.5903322679491242e+02
1.0995574287564277e-02 3.8626795432614337e+01 -4.5117924516093689e+02
1.2566370614359173e-02 3.7924253234340128e+01 -4.4332526352696237e+02
1.4137166941154069e-02 3.7234048041567277e+01 -4.3547128189298792e+02
1.5707963267948967e-02 3.6556179854295792e+01 -4.2761730025901340e+02
1.7278759594743863e-02 3.5890648672525657e+01 -4.1976331862504111e+02
1.8849555921538759e-02 3.5237454496256895e+01 -4.1190933699106444e+02
2.0420352248333655e-02 3.4596597325489483e+01 -4.0405535535708992e+02
2.1991148575128554e-02 3.3968077160223444e+01 -3.9620137372311541e+02
2.3561944901923450e-02 3.3351894000458756e+01 -3.8834739208914095e+02
2.5132741228718346e-02 3.2748047846195441e+01 -3.8049341045516763e+02
2.6703537555513242e-02 3.2156538697433483e+01 -3.7263942882119198e+02
2.8274333882308138e-02 3.1577366554172890e+01 -3.6478544718721753e+02
2.9845130209103038e-02 3.1010531416413656e+01 -3.5693146555324302e+02
3.1415926535897934e-02 3.0456033284155783e+01 -3.4907748391926970e+02
3.2986722862692830e-02 2.9913872157399272e+01 -3.4122350228529518e+02
3.4557519189487726e-02 2.9384048036144122e+01 -3.3336952065131959e+02
3.6128315516282622e-02 2.8866560920390334e+01 -3.2551553901734513e+02
3.7699111843077518e-02 2.8361410810137912e+01 -3.1766155738337062e+02
3.9269908169872414e-02 2.7868597705386847e+01 -3.0980757574939730e+02
4.0840704496667310e-02 2.7388121606137144e+01 -3.0195359411542159e+02
4.2411500823462213e-02 2.6919982512388803e+01 -2.9409961248144708e+02
4.3982297150257109e-02 2.6464180424141823e+01 -2.8624563084747268e+02
4.5553093477052005e-02 2.6020715341396208e+01 -2.7839164921349817e+02
4.7123889803846901e-02 2.5589587264151952e+01 -2.7053766757952593e+02
4.8694686130641797e-02 2.5170796192409057e+01 -2.6268368594554926e+02
5.0265482457436693e-02 2.4764342126167527e+01 -2.5482970431157472e+02
5.1836278784231589e-02 2.4370225065427356e+01 -2.4697572267760026e+02
5.3407075111026485e-02 2.3988445010188549e+01 -2.3912174104362578e+02
5.4977871437821381e-02 2.3619001960451101e+01 -2.3126775940965243e+02
5.6548667764616277e-02 2.3261895916215018e+01 -2.2341377777567681e+02
5.8119464091411173e-02 2.2917126877480293e+01 -2.1555979614170346e+02
5.9690260418206076e-02 2.2584694844246929e+01 -2.0770581450772781e+02
6.1261056745000972e-02 2.2264599816514927e+01 -1.9985183287375332e+02
6.2831853071795868e-02 2.1956841794284291e+01 -1.9199785123977998e+02
6.4402649398590764e-02 2.1661420777555016e+01 -1.8414386960580438e+02
