# x energy force
1.0000000000000000e-02 4.1410619515304177e+01 2.5402318137266207e+02
1.0996666666666667e-02 4.1158194248502781e+01 2.5251581555322264e+02
1.1993333333333333e-02 4.0907267962651865e+01 2.5101519284326804e+02
1.2990000000000002e-02 4.0657832838873894e+01 2.4952351707908156e+02
1.3986666666666668e-02 4.0409879986628880e+01 2.4804073491760437e+02
1.4983333333333335e-02 4.0163400568383615e+01 2.4656679333376391e+02
1.5980000000000001e-02 3.9918385799295656e+01 2.4510163961866641e+02
1.6976666666666668e-02 3.9674826946899124e+01 2.4364522137771851e+02
1.7973333333333334e-02 3.9432715330792469e+01 2.4219748652860775e+02
1.8970000000000001e-02 3.9192042322328071e+01 2.4075838329962099e+02
1.9966666666666667e-02 3.8952799344303614e+01 2.3932786022772424e+02
2.0963333333333334e-02 3.8714977870655396e+01 2.3790586615665438e+02
2.1960000000000000e-02 3.8478569426153456e+01 2.3649235023519259e+02
2.2956666666666667e-02 3.8243565586098462e+01 2.3508726191528964e+02
2.3953333333333333e-02 3.8009957976020445e+01 2.3369055095030214e+02
2.4950000000000000e-02 3.7777738271379313e+01 2.3230216739310529e+02
2.5946666666666666e-02 3.7546898197267204e+01 2.3092206159439849e+02
2.6943333333333333e-02 3.7317429528112527e+01 2.2955018420094186e+02
2.7940000000000000e-02 3.7089324087385812e+01 2.2818648615366897e+02
2.8936666666666666e-02 3.6862573747307351e+01 2.2683091868604637e+02
2.9933333333333333e-02 3.6637170428556523e+01 2.2548343332230192e+02
3.0929999999999999e-02 3.6413106099982862e+01 2.2414398187568204e+02
3.1926666666666666e-02 3.6190372778318867e+01 2.2281251644671886e+02
3.2923333333333332e-02 3.5968962527894519e+01 2.2148898942153360e+02
3.3920000000000006e-02 3.5748867460353502e+01 2.2017335347013449e+02
3.4916666666666672e-02 3.5530079734371107e+01 2.1886556154470688e+02
3.5913333333333339e-02 3.5312591555373821e+01 2.1756556687794392e+02
3.6910000000000005e-02 3.5096395175260582e+01 2.1627332298139729e+02
3.7906666666666672e-02 3.4881482892125710e+01 2.1498878364376569e+02
3.8903333333333338e-02 3.4667847049983486e+01 2.1371190292925363e+02
3.9900000000000005e-02 3.4455480038494386e+01 2.1244263517596983e+02
4.0896666666666671e-02 3.4244374292692889e+01 2.1118093499425964e+02
4.1893333333333338e-02 3.4034522292716986e+01 2.0992675726507929e+02
4.2890000000000005e-02 3.3825916563539252e+01 2.0868005713840640e+02
4.3886666666666671e-02 3.3618549674699523e+01 2.0744079003162108e+02
4.4883333333333338e-02 3.3412414240039205e+01 2.0620891162788121e+02
4.5880000000000004e-02 3.3207502917437139e+01 2.0498437787459295e+02
4.6876666666666671e-02 3.3003808408547023e+01 2.0376714498182787e+02
4.7873333333333337e-02 3.2801323458536423e+01 2.0255716942071547e+02
4.8870000000000004e-02 3.2600040855827352e+01 2.0135440792190337e+02
4.9866666666666670e-02 3.2399953431838377e+01 2.0015881747403171e+02
5.0863333333333337e-02 3.2201054060728246e+01 1.9897035532221113e+02
5.1860000000000003e-02 3.2003335659141086e+01 1.9778897896639819e+02
5.2856666666666670e-02 3.1806791185953113e+01 1.9661464615996809e+02
5.3853333333333336e-02 3.1611413642020789e+01 1.9544731490823827e+02
5.4850000000000003e-02 3.1417196069930558e+01 1.9428694346680683e+02
5.5846666666666669e-02 3.1224131553750063e+01 1.9313349034020581e+02
5.6843333333333336e-02 3.1032213218780800e+01 1.9198691428038896e+02
5.7840000000000009e-02 3.0841434231312281e+01 1.9084717428519633e+02
5.8836666666666676e-02 3.0651787798377676e+01 1.8971422959695462e+02
5.9833333333333343e-02 3.0463267167510871e+01 1.8858803970098353e+02
6.0830000000000009e-02 3.0275865626505002e+01 1.8746856432417368e+02
6.1826666666666676e-02 3.0089576503172424e+01 1.8635576343350775e+02
6.2823333333333342e-02 2.9904393165106121e+01 1.8524959723465980e+02
6.3820000000000002e-02 2.9720309019442507e+01 1.8415002617058857e+02
6.4816666666666675e-02 2.9537317512625673e+01 1.8305701092004546e+02
6.5813333333333335e-02 2.9355412130173047e+01 1.8197051239626569e+02
6.6810000000000008e-02 2.9174586396442390e+01 1.8089049174551766e+02
6.7806666666666668e-02 2.8994833874400271e+01 1.7981691034569599e+02
6.8803333333333341e-02 2.8816148165391834e+01 1.7874972980501195e+02
6.9800000000000001e-02 2.8638522908912002e+01 1.7768891196053963e+02
7.0796666666666674e-02 2.8461951782378016e+01 1.7663441887688478e+02
7.1793333333333334e-02 2.8286428500903355e+01 1.7558621284484724e+02
7.2789999999999994e-02 2.8111946817072951e+01 1.7454425638004787e+02
7.3786666666666667e-02 2.7938500520719799e+01 1.7350851222159400e+02
7.4783333333333341e-02 2.7766083438702875e+01 1.7247894333076172e+02
7.5780000000000000e-02 2.7594689434686376e+01 1.7145551288963628e+02
7.6776666666666674e-02 2.7424312408920297e+01 1.7043818429982150e+02
7.7773333333333333e-02 2.7254946298022286e+01 1.6942692118114019e+02
7.8770000000000007e-02 2.7086585074760816e+01 1.6842168737030318e+02
7.9766666666666666e-02 2.6919222747839658e+01 1.6742244691964709e+02
8.0763333333333340e-02 2.6752853361683613e+01 1.6642916409582946e+02
8.1759999999999999e-02 2.6587470996225548e+01 1.6544180337854965e+02
8.2756666666666673e-02 2.6423069766694695e+01 1.6446032945928104e+02
