# x energy force
0.0000000000000000e+00 3.3837663802561437e+01 -5.0312801326171984e+02
1.5707963267948967e-03 3.3053520670172993e+01 -4.9527403162774539e+02
3.1415926535897933e-03 3.2281714543285915e+01 -4.8742004999377093e+02
4.7123889803846897e-03 3.1522245421900188e+01 -4.7956606835979642e+02
6.2831853071795866e-03 3.0775113306015832e+01 -4.7171208672582196e+02
7.8539816339744835e-03 3.0040318195632842e+01 -4.6385810509184745e+02
9.4247779607693795e-03 2.9317860090751203e+01 -4.5600412345787299e+02
1.0995574287564277e-02 2.8607738991370930e+01 -4.4815014182389854e+02
1.2566370614359173e-02 2.7909954897492021e+01 -4.4029616018992402e+02
1.4137166941154069e-02 2.7224507809114471e+01 -4.3244217855594957e+02
1.5707963267948967e-02 2.6551397726238285e+01 -4.2458819692197505e+02
1.7278759594743863e-02 2.5890624648863451e+01 -4.1673421528800054e+02
1.8849555921538759e-02 2.5242188576989996e+01 -4.0888023365402609e+02
2.0420352248333655e-02 2.4606089510617885e+01 -4.0102625202005157e+02
2.1991148575128554e-02 2.3982327449747146e+01 -3.9317227038607706e+02
2.3561944901923450e-02 2.3370902394377765e+01 -3.8531828875210317e+02
2.5132741228718346e-02 2.2771814344509750e+01 -3.7746430711812815e+02
2.6703537555513242e-02 2.2185063300143096e+01 -3.6961032548415363e+02
2.8274333882308138e-02 2.1610649261277800e+01 -3.6175634385017918e+02
2.9845130209103038e-02 2.1048572227913869e+01 -3.5390236221620466e+02
3.1415926535897934e-02 2.0498832200051300e+01 -3.4604838058223021e+02
3.2986722862692830e-02 1.9961429177690093e+01 -3.3819439894825570e+02
3.4557519189487726e-02 1.9436363160830247e+01 -3.3034041731428181e+02
3.6128315516282622e-02 1.8923634149471759e+01 -3.2248643568030678e+02
3.7699111843077518e-02 1.8423242143614637e+01 -3.1463245404633227e+02
3.9269908169872414e-02 1.7935187143258872e+01 -3.0677847241235781e+02
4.0840704496667310e-02 1.7459469148404473e+01 -2.9892449077838330e+02
4.2411500823462213e-02 1.6996088159051432e+01 -2.9107050914440879e+02
4.3982297150257109e-02 1.6545044175199756e+01 -2.8321652751043433e+02
4.5553093477052005e-02 1.6106337196849442e+01 -2.7536254587645982e+02
4.7123889803846901e-02 1.5679967224000489e+01 -2.6750856424248536e+02
4.8694686130641797e-02 1.5265934256652898e+01 -2.5965458260851091e+02
5.0265482457436693e-02 1.4864238294806668e+01 -2.5180060097453637e+02
5.1836278784231589e-02 1.4474879338461800e+01 -2.4394661934056191e+02
5.3407075111026485e-02 1.4097857387618294e+01 -2.3609263770658742e+02
5.4977871437821381e-02 1.3733172442276148e+01 -2.2823865607261294e+02
5.6548667764616277e-02 1.3380824502435365e+01 -2.2038467443863846e+02
5.8119464091411173e-02 1.3040813568095944e+01 -2.1253069280466397e+02
5.9690260418206076e-02 1.2713139639257882e+01 -2.0467671117068946e+02
6.1261056745000972e-02 1.2397802715921184e+01 -1.9682272953671497e+02
6.2831853071795868e-02 1.2094802798085848e+01 -1.8896874790274049e+02
6.4402649398590764e-02 1.1804139885751873e+01 -1.8111476626876603e+02
6.5973445725385660e-02 1.1525813978919260e+01 -1.7326078463479212e+02
6.7544242052180556e-02 1.1259825077588008e+01 -1.6540680300081706e+02
6.9115038378975452e-02 1.1006173181758118e+01 -1.5755282136684258e+02
7.0685834705770348e-02 1.0764858291429592e+01 -1.4969883973286809e+02
7.2256631032565244e-02 1.0535880406602425e+01 -1.4184485809889361e+02
7.3827427359360140e-02 1.0319239527276620e+01 -1.3399087646491915e+02
7.5398223686155036e-02 1.0114935653452177e+01 -1.2613689483094468e+02
7.6969020012949932e-02 9.9229687851290969e+00 -1.1828291319697077e+02
7.8539816339744828e-02 9.7433389223073767e+00 -1.1042893156299571e+02
8.0110612666539724e-02 9.5760460649870183e+00 -1.0257494992902124e+02
8.1681408993334620e-02 9.4210902131680232e+00 -9.4720968295046760e+01
8.3252205320129516e-02 9.2784713668503880e+00 -8.6866986661072261e+01
8.4823001646924426e-02 9.1481895260341144e+00 -7.9013005027097719e+01
8.6393797973719322e-02 9.0302446907192042e+00 -7.1159023393123249e+01
8.7964594300514218e-02 8.9246368609056539e+00 -6.3305041759148764e+01
8.9535390627309114e-02 8.8313660365934670e+00 -5.5451060125174280e+01
9.1106186954104010e-02 8.7504322177826417e+00 -4.7597078491199809e+01
9.2676983280898906e-02 8.6818354044731780e+00 -3.9743096857225325e+01
9.4247779607693802e-02 8.6255755966650742e+00 -3.1889115223250844e+01
9.5818575934488698e-02 8.5816527943583338e+00 -2.4035133589276363e+01
9.7389372261283594e-02 8.5500669975529551e+00 -1.6181151955301885e+01
9.8960168588078490e-02 8.5308182062489379e+00 -8.3271703213274044e+00
1.0053096491487339e-01 8.5232016110942155e+00 -3.1280132617198255e+00
1.0210176124166828e-01 8.5182881393525403e+00 -3.1280132617198255e+00
1.0367255756846318e-01 8.5133746676108650e+00 -3.1280132617198255e+00
1.0524335389525807e-01 8.5084611958691898e+00 -3.1280132617198255e+00
1.0681415022205297e-01 8.5035477241275146e+00 -3.1280132617198255e+00
1.0838494654884787e-01 8.4986342523858394e+00 -3.1280132617203908e+00
1.0995574287564276e-01 8.4937207806441641e+00 -3.1280132617198255e+00
1.1152653920243766e-01 8.4888073089024889e+00 -3.1280132617198255e+00
1.1309733552923255e-01 8.4838938371608137e+00 -3.1280132617198255e+00
1.1466813185602745e-01 8.4789803654191385e+00 -3.1280132617198255e+00
1.1623892818282235e-01 8.4740668936774632e+00 -3.1280132617198118e+00
1.1780972450961726e-01 8.4691534219357880e+00 -3.1280132617198118e+00
1.1938052083641215e-01 8.4642399501941128e+00 -3.1280132617203908e+00
1.2095131716320705e-01 8.4593264784524376e+00 -3.1280132617198255e+00
1.2252211349000194e-01 8.4544130067107623e+00 -3.1280132617198255e+00
1.2409290981679684e-01 8.4494995349690871e+00 -3.1280132617198255e+00
1.2566370614359174e-01 8.4445860632274119e+00 -3.1280132617198397e+00
1.2723450247038662e-01 8.4396725914857367e+00 -3.1280132617198255e+00
1.2880529879718153e-01 8.4347591197440615e+00 -3.1280132617198255e+00
1.3037609512397641e-01 8.4298456480023862e+00 -3.1280132617198255e+00
1.3194689145077132e-01 8.4249321762607110e+00 -3.1280132617198255e+00
1.3351768777756620e-01 8.4200187045190358e+00 -3.1280132617198255e+00
1.3508848410436111e-01 8.4151052327773606e+00 -3.1280132617197984e+00
1.3665928043115602e-01 8.4101917610356853e+00 -3.1280132617198255e+00
1.3823007675795090e-01 8.4052782892940101e+00 -3.1280132617198255e+00
1.3980087308474581e-01 8.4003648175523349e+00 -3.1280132617198255e+00
1.4137166941154070e-01 8.3954513458106597e+00 -3.1280132617198255e+00
1.4294246573833561e-01 8.3905378740689844e+00 -3.1280132617198255e+00
1.4451326206513049e-01 8.3856244023273092e+00 -3.1280132617198255e+00
1.4608405839192540e-01 8.3807109305856340e+00 -3.1280132617198255e+00
1.4765485471872028e-01 8.3757974588439588e+00 -3.1280132617203913e+00
1.4922565104551519e-01 8.3708839871022835e+00 -3.1280132617198255e+00
1.5079644737231007e-01 8.3659705153606083e+00 -3.1280132617198255e+00
1.5236724369910498e-01 8.3610570436189331e+00 -3.1280132617198255e+00
1.5393804002589986e-01 8.3561435718772579e+00 -3.1280132617198255e+00
1.5550883635269477e-01 8.3512301001355826e+00 -3.1280132617198255e+00
1.5707963267948966e-01 8.3463166283939074e+00 -3.1280132617198255e+00
1.5865042900628457e-01 8.3414031566522322e+00 -3.1280132617198255e+00
1.6022122533307945e-01 8.3364896849105570e+00 -3.1280132617198255e+00
1.6179202165987436e-01 8.3315762131688818e+00 -3.1280132617203913e+00
1.6336281798666924e-01 8.3266627414272065e+00 -3.1280132617198255e+00
1.6493361431346415e-01 8.3217492696855313e+00 -3.1280132617198255e+00
1.6650441064025903e-01 8.3168357979438561e+00 -3.1280132617198255e+00
1.6807520696705394e-01 8.3119223262021809e+00 -3.1280132617197984e+00
1.6964600329384885e-01 8.3070088544605056e+00 -3.1280132617198255e+00
1.7121679962064373e-01 8.3020953827188304e+00 -3.1280132617198255e+00
1.7278759594743864e-01 8.2971819109771552e+00 -3.1280132617198255e+00
1.7435839227423353e-01 8.2922684392354800e+00 -3.1280132617198255e+00
1.7592918860102844e-01 8.2873549674938047e+00 -3.1280132617198255e+00
1.7749998492782332e-01 8.2824414957521295e+00 -3.1280132617198255e+00
1.7907078125461823e-01 8.2775280240104543e+00 -3.1280132617198255e+00
1.8064157758141311e-01 8.2726145522687791e+00 -3.1280132617198255e+00
1.8221237390820802e-01 8.2677010805271038e+00 -3.1280132617198255e+00
1.8378317023500290e-01 8.2627876087854286e+00 -3.1280132617198255e+00
1.8535396656179781e-01 8.2578741370437534e+00 -3.1280132617198255e+00
1.8692476288859269e-01 8.2529606653020782e+00 -3.1280132617198255e+00
1.8849555921538760e-01 8.2480471935604029e+00 -3.1280132617198255e+00
1.9006635554218249e-01 8.2431337218187277e+00 -3.1280132617203913e+00
1.9163715186897740e-01 8.2382202500770525e+00 -3.1280132617198255e+00
1.9320794819577228e-01 8.2333067783353773e+00 -3.1280132617192602e+00
1.9477874452256719e-01 8.2283933065937021e+00 -3.1280132617198255e+00
1.9634954084936207e-01 8.2234798348520268e+00 -3.1280132617203913e+00
1.9792033717615698e-01 8.2185663631103516e+00 -3.1280132617198255e+00
1.9949113350295186e-01 8.2136528913686764e+00 -3.1280132617198255e+00
2.0106192982974677e-01 8.2087394196270012e+00 -3.1280132617203638e+00
2.0263272615654168e-01 8.2038259478853259e+00 -3.1280132617198255e+00
2.0420352248333656e-01 8.1989124761436507e+00 -3.1280132617198255e+00
2.0577431881013147e-01 8.1939990044019755e+00 -3.1280132617198255e+00
2.0734511513692636e-01 8.1890855326603003e+00 -3.1280132617198255e+00
2.0891591146372127e-01 8.1841720609186250e+00 -3.1280132617198255e+00
2.1048670779051615e-01 8.1792585891769498e+00 -3.1280132617198255e+00
2.1205750411731106e-01 8.1743451174352746e+00 -3.1280132617198255e+00
2.1362830044410594e-01 8.1694316456935994e+00 -3.1280132617198255e+00
2.1519909677090085e-01 8.1645181739519241e+00 -3.1280132617198255e+00
2.1676989309769573e-01 8.1596047022102489e+00 -3.1280132617198255e+00
2.1834068942449064e-01 8.1546912304685737e+00 -3.1280132617198255e+00
2.1991148575128552e-01 8.1497777587268985e+00 -3.1280132617198255e+00
2.2148228207808043e-01 8.1448642869852232e+00 -3.1280132617198255e+00
2.2305307840487532e-01 8.1399508152435480e+00 -3.1280132617198255e+00
