# x energy force
0.0000000000000000e+00 3.5196568415205086e+01 -5.0314959640244143e+02
1.5707963267948967e-03 3.4412391380098477e+01 -4.9529561476846811e+02
3.1415926535897933e-03 3.3640551350493226e+01 -4.8744163313449366e+02
4.7123889803846897e-03 3.2881048326389340e+01 -4.7958765150051914e+02
6.2831853071795866e-03 3.2133882307786813e+01 -4.7173366986654469e+02
7.8539816339744835e-03 3.1399053294685654e+01 -4.6387968823256961e+02
9.4247779607693795e-03 3.0676561287085850e+01 -4.5602570659859515e+02
1.0995574287564277e-02 2.9966406284987407e+01 -4.4817172496462069e+02
1.2566370614359173e-02 2.9268588288390333e+01 -4.4031774333064618e+02
1.4137166941154069e-02 2.8583107297294617e+01 -4.3246376169667172e+02
1.5707963267948967e-02 2.7909963311700263e+01 -4.2460978006269778e+02
1.7278759594743863e-02 2.7249156331607264e+01 -4.1675579842872327e+02
1.8849555921538759e-02 2.6600686357015640e+01 -4.0890181679474881e+02
2.0420352248333655e-02 2.5964553387925363e+01 -4.0104783516077430e+02
2.1991148575128554e-02 2.5340757424336456e+01 -3.9319385352679922e+02
2.3561944901923450e-02 2.4729298466248906e+01 -3.8533987189282476e+02
2.5132741228718346e-02 2.4130176513662725e+01 -3.7748589025885030e+02
2.6703537555513242e-02 2.3543391566577903e+01 -3.6963190862487579e+02
2.8274333882308138e-02 2.2968943624994441e+01 -3.6177792699090134e+02
2.9845130209103038e-02 2.2406832688912342e+01 -3.5392394535692739e+02
3.1415926535897934e-02 2.1857058758331604e+01 -3.4606996372295293e+02
3.2986722862692830e-02 2.1319621833252228e+01 -3.3821598208897842e+02
3.4557519189487726e-02 2.0794521913674213e+01 -3.3036200045500397e+02
3.6128315516282622e-02 2.0281758999597560e+01 -3.2250801882102894e+02
3.7699111843077518e-02 1.9781333091022269e+01 -3.1465403718705443e+02
3.9269908169872414e-02 1.9293244187948339e+01 -3.0680005555307997e+02
4.0840704496667310e-02 1.8817492290375775e+01 -2.9894607391910540e+02
4.2411500823462213e-02 1.8354077398304568e+01 -2.9109209228513146e+02
4.3982297150257109e-02 1.7902999511734720e+01 -2.8323811065115763e+02
4.5553093477052005e-02 1.7464258630666237e+01 -2.7538412901718254e+02
4.7123889803846901e-02 1.7037854755099119e+01 -2.6753014738320752e+02
4.8694686130641797e-02 1.6623787885033359e+01 -2.5967616574923306e+02
5.0265482457436693e-02 1.6222058020468960e+01 -2.5182218411525852e+02
5.1836278784231589e-02 1.5832665161405927e+01 -2.4396820248128407e+02
5.3407075111026485e-02 1.5455609307844252e+01 -2.3611422084730958e+02
5.4977871437821381e-02 1.5090890459783941e+01 -2.2826023921333567e+02
5.6548667764616277e-02 1.4738508617224989e+01 -2.2040625757936118e+02
5.8119464091411173e-02 1.4398463780167400e+01 -2.1255227594538670e+02
5.9690260418206076e-02 1.4070755948611170e+01 -2.0469829431141218e+02
