# x energy force
0.0000000000000000e+00 4.2630391402556342e+01 -5.0482797011562792e+02
1.5707963267948967e-03 4.1843577984186069e+01 -4.9697398848165568e+02
3.1415926535897933e-03 4.1069101571317162e+01 -4.8912000684768236e+02
4.7123889803846897e-03 4.0306962163949606e+01 -4.8126602521370785e+02
6.2831853071795866e-03 3.9557159762083415e+01 -4.7341204357973226e+02
7.8539816339744835e-03 3.8819694365718590e+01 -4.6555806194575666e+02
9.4247779607693795e-03 3.8094565974855122e+01 -4.5770408031178329e+02
1.0995574287564277e-02 3.7381774589493013e+01 -4.4985009867780997e+02
1.2566370614359173e-02 3.6681320209632275e+01 -4.4199611704383545e+02
1.4137166941154069e-02 3.5993202835272889e+01 -4.3414213540985986e+02
1.5707963267948967e-02 3.5317422466414868e+01 -4.2628815377588427e+02
1.7278759594743863e-02 3.4653979103058205e+01 -4.1843417214191084e+02
1.8849555921538759e-02 3.4002872745202922e+01 -4.1058019050793752e+02
2.0420352248333655e-02 3.3364103392848975e+01 -4.0272620887396300e+02
2.1991148575128554e-02 3.2737671045996400e+01 -3.9487222723998735e+02
2.3561944901923450e-02 3.2123575704645191e+01 -3.8701824560601290e+02
2.5132741228718346e-02 3.1521817368795340e+01 -3.7916426397203844e+02
2.6703537555513242e-02 3.0932396038446853e+01 -3.7131028233806393e+02
2.8274333882308138e-02 3.0355311713599725e+01 -3.6345630070409061e+02
2.9845130209103038e-02 2.9790564394253963e+01 -3.5560231907011496e+02
3.1415926535897934e-02 2.9238154080409561e+01 -3.4774833743614050e+02
3.2986722862692830e-02 2.8698080772066518e+01 -3.3989435580216599e+02
3.4557519189487726e-02 2.8170344469224837e+01 -3.3204037416819153e+02
3.6128315516282622e-02 2.7654945171884521e+01 -3.2418639253421821e+02
3.7699111843077518e-02 2.7151882880045562e+01 -3.1633241090024370e+02
3.9269908169872414e-02 2.6661157593707966e+01 -3.0847842926626811e+02
4.0840704496667310e-02 2.6182769312871734e+01 -3.0062444763229246e+02
4.2411500823462213e-02 2.5716718037536864e+01 -2.9277046599831908e+02
4.3982297150257109e-02 2.5263003767703360e+01 -2.8491648436434463e+02
4.5553093477052005e-02 2.4821626503371210e+01 -2.7706250273037125e+02
4.7123889803846901e-02 2.4392586244540421e+01 -2.6920852109639679e+02
4.8694686130641797e-02 2.3975882991210995e+01 -2.6135453946242012e+02
5.0265482457436693e-02 2.3571516743382936e+01 -2.5350055782844672e+02
5.1836278784231589e-02 2.3179487501056233e+01 -2.4564657619447226e+02
5.3407075111026485e-02 2.2799795264230895e+01 -2.3779259456049891e+02
5.4977871437821381e-02 2.2432440032906914e+01 -2.2993861292652329e+02
5.6548667764616277e-02 2.2077421807084299e+01 -2.2208463129254767e+02
5.8119464091411173e-02 2.1734740586763049e+01 -2.1423064965857543e+02
5.9690260418206076e-02 2.1404396371943154e+01 -2.0637666802460092e+02
6.1261056745000972e-02 2.1086389162624620e+01 -1.9852268639062532e+02
6.2831853071795868e-02 2.0780718958807455e+01 -1.9066870475664970e+02
6.4402649398590764e-02 2.0487385760491648e+01 -1.8281472312267638e+02
6.5973445725385660e-02 2.0206389567677203e+01 -1.7496074148870304e+02
6.7544242052180556e-02 1.9937730380364119e+01 -1.6710675985472855e+02
6.9115038378975452e-02 1.9681408198552393e+01 -1.5925277822075293e+02
7.0685834705770348e-02 1.9437423022242037e+01 -1.5139879658677731e+02
7.2256631032565244e-02 1.9205774851433038e+01 -1.4354481495280396e+02
7.3827427359360140e-02 1.8986463686125401e+01 -1.3569083331883064e+02
7.5398223686155036e-02 1.8779489526319125e+01 -1.2783685168485614e+02
7.6969020012949932e-02 1.8584852372014208e+01 -1.1998287005088054e+02
7.8539816339744828e-02 1.8402552223210659e+01 -1.1212888841690491e+02
8.0110612666539724e-02 1.8232589079908472e+01 -1.0427490678293158e+02
8.1681408993334620e-02 1.8074962942107639e+01 -9.6420925148958219e+01
8.3252205320129516e-02 1.7929673809808172e+01 -8.8566943514983720e+01
8.4823001646924426e-02 1.7796721683010066e+01 -8.0712961881008042e+01
8.6393797973719322e-02 1.7676106561713322e+01 -7.2858980247032449e+01
8.7964594300514218e-02 1.7567828445917943e+01 -6.5004998613059101e+01
8.9535390627309114e-02 1.7471887335623922e+01 -5.7151016979085753e+01
9.1106186954104010e-02 1.7388283230831263e+01 -4.9297035345111276e+01
