# x energy force
0.0000000000000000e+00 3.1647509090549786e+01 -5.0112604827703927e+02
1.5707963267948967e-03 3.0866510637405653e+01 -4.9327206664306539e+02
3.1415926535897933e-03 3.0097849189762879e+01 -4.8541808500909093e+02
4.7123889803846897e-03 2.9341524747621463e+01 -4.7756410337511642e+02
6.2831853071795866e-03 2.8597537310981416e+01 -4.6971012174114196e+02
7.8539816339744835e-03 2.7865886879842730e+01 -4.6185614010716716e+02
9.4247779607693795e-03 2.7146573454205402e+01 -4.5400215847319299e+02
1.0995574287564277e-02 2.6439597034069433e+01 -4.4614817683921854e+02
1.2566370614359173e-02 2.5744957619434835e+01 -4.3829419520524402e+02
1.4137166941154069e-02 2.5062655210301592e+01 -4.3044021357126957e+02
1.5707963267948967e-02 2.4392689806669715e+01 -4.2258623193729477e+02
1.7278759594743863e-02 2.3735061408539188e+01 -4.1473225030332026e+02
1.8849555921538759e-02 2.3089770015910041e+01 -4.0687826866934608e+02
2.0420352248333655e-02 2.2456815628782238e+01 -3.9902428703537157e+02
2.1991148575128554e-02 2.1836198247155806e+01 -3.9117030540139706e+02
2.3561944901923450e-02 2.1227917871030733e+01 -3.8331632376742260e+02
2.5132741228718346e-02 2.0631974500407026e+01 -3.7546234213344786e+02
2.6703537555513242e-02 2.0048368135284676e+01 -3.6760836049947363e+02
2.8274333882308138e-02 1.9477098775663691e+01 -3.5975437886549918e+02
2.9845130209103038e-02 1.8918166421544065e+01 -3.5190039723152466e+02
3.1415926535897934e-02 1.8371571072925803e+01 -3.4404641559755021e+02
3.2986722862692830e-02 1.7837312729808900e+01 -3.3619243396357570e+02
3.4557519189487726e-02 1.7315391392193362e+01 -3.2833845232960124e+02
3.6128315516282622e-02 1.6805807060079186e+01 -3.2048447069562678e+02
3.7699111843077518e-02 1.6308559733466371e+01 -3.1263048906165227e+02
3.9269908169872414e-02 1.5823649412354916e+01 -3.0477650742767753e+02
4.0840704496667310e-02 1.5351076096744823e+01 -2.9692252579370302e+02
4.2411500823462213e-02 1.4890839786636091e+01 -2.8906854415972879e+02
4.3982297150257109e-02 1.4442940482028721e+01 -2.8121456252575462e+02
4.5553093477052005e-02 1.4007378182922714e+01 -2.7336058089177982e+02
4.7123889803846901e-02 1.3584152889318068e+01 -2.6550659925780508e+02
4.8694686130641797e-02 1.3173264601214784e+01 -2.5765261762383062e+02
5.0265482457436693e-02 1.2774713318612861e+01 -2.4979863598985642e+02
5.1836278784231589e-02 1.2388499041512301e+01 -2.4194465435588197e+02
5.3407075111026485e-02 1.2014621769913102e+01 -2.3409067272190748e+02
5.4977871437821381e-02 1.1653081503815265e+01 -2.2623669108793300e+02
5.6548667764616277e-02 1.1303878243218790e+01 -2.1838270945395823e+02
5.8119464091411173e-02 1.0967011988123677e+01 -2.1052872781998403e+02
5.9690260418206076e-02 1.0642482738529921e+01 -2.0267474618600951e+02
6.1261056745000972e-02 1.0330290494437531e+01 -1.9482076455203503e+02
6.2831853071795868e-02 1.0030435255846502e+01 -1.8696678291806055e+02
6.4402649398590764e-02 9.7429170227568349e+00 -1.7911280128408580e+02
6.5973445725385660e-02 9.4677357951685295e+00 -1.7125881965011160e+02
6.7544242052180556e-02 9.2048915730815875e+00 -1.6340483801613712e+02
6.9115038378975452e-02 8.9543843564960053e+00 -1.5555085638216264e+02
7.0685834705770348e-02 8.7162141454117847e+00 -1.4769687474818815e+02
7.2256631032565244e-02 8.4903809398289258e+00 -1.3984289311421338e+02
7.3827427359360140e-02 8.2768847397474303e+00 -1.3198891148023921e+02
7.5398223686155036e-02 8.0757255451672947e+00 -1.2413492984626473e+02
7.6969020012949932e-02 7.8869033560885207e+00 -1.1628094821229024e+02
7.8539816339744828e-02 7.7104181725111092e+00 -1.0842696657831576e+02
8.0110612666539724e-02 7.5462699944350593e+00 -1.0057298494434100e+02
8.1681408993334620e-02 7.3944588218603711e+00 -9.2719003310366801e+01
8.3252205320129516e-02 7.2549846547870445e+00 -8.4865021676392303e+01
8.4823001646924426e-02 7.1278474932150768e+00 -7.7011040042417761e+01
8.6393797973719322e-02 7.0130473371444744e+00 -6.9157058408443291e+01
8.7964594300514218e-02 6.9105841865752327e+00 -6.1303076774468522e+01
8.9535390627309114e-02 6.8204580415073526e+00 -5.3449095140494322e+01
9.1106186954104010e-02 6.7426689019408350e+00 -4.5595113506519844e+01
9.2676983280898906e-02 6.6772167678756782e+00 -3.7741131872545360e+01
9.4247779607693802e-02 6.6241016393118839e+00 -2.9887150238570886e+01
9.5818575934488698e-02 6.5833235162494503e+00 -2.2033168604596121e+01
9.7389372261283594e-02 6.5548823986883793e+00 -1.4179186970621924e+01
9.8960168588078490e-02 6.5387782866286690e+00 -6.3252053366474454e+00
1.0053096491487339e-01 6.5343063707182552e+00 -1.1260482770398663e+00
1.0210176124166828e-01 6.5325375782208877e+00 -1.1260482770398663e+00
1.0367255756846318e-01 6.5307687857235202e+00 -1.1260482770395837e+00
