# x energy force
0.0000000000000000e+00 3.0214563161385698e+01 -4.9970622733158632e+02
1.5707963267948967e-03 2.9435794957767389e+01 -4.9185224569761243e+02
3.1415926535897933e-03 2.8669363759650437e+01 -4.8399826406363826e+02
4.7123889803846897e-03 2.7915269567034848e+01 -4.7614428242966346e+02
6.2831853071795866e-03 2.7173512379920624e+01 -4.6829030079568901e+02
7.8539816339744835e-03 2.6444092198307761e+01 -4.6043631916171478e+02
9.4247779607693795e-03 2.5727009022196256e+01 -4.5258233752774032e+02
1.0995574287564277e-02 2.5022262851586110e+01 -4.4472835589376558e+02
1.2566370614359173e-02 2.4329853686477335e+01 -4.3687437425979107e+02
1.4137166941154069e-02 2.3649781526869916e+01 -4.2902039262581690e+02
1.5707963267948967e-02 2.2982046372763861e+01 -4.2116641099184210e+02
1.7278759594743863e-02 2.2326648224159158e+01 -4.1331242935786759e+02
1.8849555921538759e-02 2.1683587081055833e+01 -4.0545844772389341e+02
2.0420352248333655e-02 2.1052862943453853e+01 -3.9760446608991862e+02
2.1991148575128554e-02 2.0434475811353245e+01 -3.8975048445594410e+02
2.3561944901923450e-02 1.9828425684753995e+01 -3.8189650282196993e+02
2.5132741228718346e-02 1.9234712563656110e+01 -3.7404252118799548e+02
2.6703537555513242e-02 1.8653336448059587e+01 -3.6618853955402068e+02
2.8274333882308138e-02 1.8084297337964422e+01 -3.5833455792004622e+02
2.9845130209103038e-02 1.7527595233370622e+01 -3.5048057628607199e+02
3.1415926535897934e-02 1.6983230134278184e+01 -3.4262659465209725e+02
3.2986722862692830e-02 1.6451202040687107e+01 -3.3477261301812274e+02
3.4557519189487726e-02 1.5931510952597392e+01 -3.2691863138414857e+02
3.6128315516282622e-02 1.5424156870009035e+01 -3.1906464975017383e+02
3.7699111843077518e-02 1.4929139792922046e+01 -3.1121066811619932e+02
3.9269908169872414e-02 1.4446459721336414e+01 -3.0335668648222514e+02
4.0840704496667310e-02 1.3976116655252143e+01 -2.9550270484825035e+02
4.2411500823462213e-02 1.3518110594669235e+01 -2.8764872321427583e+02
4.3982297150257109e-02 1.3072441539587690e+01 -2.7979474158030166e+02
4.5553093477052005e-02 1.2639109490007506e+01 -2.7194075994632715e+02
4.7123889803846901e-02 1.2218114445928684e+01 -2.6408677831235241e+02
4.8694686130641797e-02 1.1809456407351224e+01 -2.5623279667837795e+02
5.0265482457436693e-02 1.1413135374275125e+01 -2.4837881504440375e+02
5.1836278784231589e-02 1.1029151346700388e+01 -2.4052483341042901e+02
5.3407075111026485e-02 1.0657504324627013e+01 -2.3267085177645453e+02
5.4977871437821381e-02 1.0298194308054999e+01 -2.2481687014248033e+02
5.6548667764616277e-02 9.9512212969843468e+00 -2.1696288850850556e+02
5.8119464091411173e-02 9.6165852914150562e+00 -2.0910890687453107e+02
5.9690260418206076e-02 9.2942862913471238e+00 -2.0125492524055684e+02
6.1261056745000972e-02 8.9843242967805566e+00 -1.9340094360658208e+02
6.2831853071795868e-02 8.6866993077153527e+00 -1.8554696197260759e+02
6.4402649398590764e-02 8.4014113241515087e+00 -1.7769298033863342e+02
6.5973445725385660e-02 8.1284603460890263e+00 -1.6983899870465893e+02
6.7544242052180556e-02 7.8678463735279056e+00 -1.6198501707068417e+02
6.9115038378975452e-02 7.6195694064681483e+00 -1.5413103543670968e+02
7.0685834705770348e-02 7.3836294449097508e+00 -1.4627705380273548e+02
7.2256631032565244e-02 7.1600264888527159e+00 -1.3842307216876071e+02
7.3827427359360140e-02 6.9487605382970425e+00 -1.3056909053478626e+02
7.5398223686155036e-02 6.7498315932427309e+00 -1.2271510890081206e+02
7.6969020012949932e-02 6.5632396536897808e+00 -1.1486112726683729e+02
7.8539816339744828e-02 6.3889847196381924e+00 -1.0700714563286280e+02
8.0110612666539724e-02 6.2270667910879656e+00 -9.9153163998888616e+01
8.1681408993334620e-02 6.0774858680391004e+00 -9.1299182364913847e+01
8.3252205320129516e-02 5.9402419504915969e+00 -8.3445200730939362e+01
8.4823001646924426e-02 5.8153350384454541e+00 -7.5591219096965105e+01
8.6393797973719322e-02 5.7027651319006738e+00 -6.7737237462990620e+01
8.7964594300514218e-02 5.6025322308572552e+00 -5.9883255829015845e+01
8.9535390627309114e-02 5.5146363353151990e+00 -5.2029274195041367e+01
9.1106186954104010e-02 5.4390774452745045e+00 -4.4175292561067174e+01
9.2676983280898906e-02 5.3758555607351708e+00 -3.6321310927092405e+01
9.4247779607693802e-02 5.3249706816972004e+00 -2.8467329293117931e+01
9.5818575934488698e-02 5.2864228081605900e+00 -2.0613347659143731e+01
9.7389372261283594e-02 5.2602119401253420e+00 -1.2759366025168969e+01
9.8960168588078490e-02 5.2463380775914557e+00 -4.9053843911944908e+00
1.0053096491487339e-01 5.2440964112068649e+00 2.9377266841280542e-01
1.0210176124166828e-01 5.2445578682353204e+00 2.9377266841308819e-01
1.0367255756846318e-01 5.2450193252637769e+00 2.9377266841308819e-01
1.0524335389525807e-01 5.2454807822922325e+00 2.9377266841280542e-01
1.0681415022205297e-01 5.2459422393206880e+00 2.9377266841280542e-01
1.0838494654884787e-01 5.2464036963491436e+00 2.9377266841308819e-01
1.0995574287564276e-01 5.2468651533776001e+00 2.9377266841308819e-01
1.1152653920243766e-01 5.2473266104060556e+00 2.9377266841280542e-01
1.1309733552923255e-01 5.2477880674345112e+00 2.9377266841308819e-01
1.1466813185602745e-01 5.2482495244629677e+00 2.9377266841308819e-01
1.1623892818282235e-01 5.2487109814914232e+00 2.9377266841280408e-01
1.1780972450961726e-01 5.2491724385198788e+00 2.9377266841308680e-01
1.1938052083641215e-01 5.2496338955483344e+00 2.9377266841308819e-01
