# x energy force
1.0000000000000000e-02 5.2964583840501646e+01 2.4607262219771940e+02
1.0996666666666667e-02 5.2719971967068112e+01 2.4478732449164912e+02
1.1993333333333333e-02 5.2476638355933211e+01 2.4350754735095779e+02
1.2990000000000002e-02 5.2234576453618082e+01 2.4223540043860456e+02
1.3986666666666668e-02 5.1993778677998947e+01 2.4097083826200242e+02
1.4983333333333335e-02 5.1754237492157841e+01 2.3971381559974452e+02
1.5980000000000001e-02 5.1515945404113104e+01 2.3846428750006726e+02
1.6976666666666668e-02 5.1278894966551405e+01 2.3722220927926455e+02
1.7973333333333334e-02 5.1043078776561465e+01 2.3598753651993911e+02
1.8970000000000001e-02 5.0808489475369356e+01 2.3476022506958421e+02
1.9966666666666667e-02 5.0575119748075274e+01 2.3354023103894590e+02
2.0963333333333334e-02 5.0342962323392001e+01 2.3232751080039563e+02
2.1960000000000000e-02 5.0112009973384879e+01 2.3112202098647145e+02
2.2956666666666667e-02 4.9882255513213316e+01 2.2992371848823473e+02
2.3953333333333333e-02 4.9653691800873865e+01 2.2873256045380612e+02
2.4950000000000000e-02 4.9426311736944818e+01 2.2754850428675601e+02
2.5946666666666666e-02 4.9200108264332343e+01 2.2637150764462771e+02
2.6943333333333333e-02 4.8975074368018092e+01 2.2520152843747729e+02
2.7940000000000000e-02 4.8751203074808345e+01 2.2403852482622429e+02
2.8936666666666666e-02 4.8528487453084672e+01 2.2288245522127266e+02
2.9933333333333333e-02 4.8306920612556034e+01 2.2173327828100881e+02
3.0929999999999999e-02 4.8086495704012371e+01 2.2059095291028771e+02
3.1926666666666666e-02 4.7867205919079694e+01 2.1945543825896019e+02
3.2923333333333332e-02 4.7649044489976617e+01 2.1832669372046476e+02
3.3920000000000006e-02 4.7432004689272290e+01 2.1720467893035044e+02
3.4916666666666672e-02 4.7216079829645885e+01 2.1608935376477658e+02
3.5913333333333339e-02 4.7001263263647431e+01 2.1498067833914749e+02
3.6910000000000005e-02 4.6787548383460077e+01 2.1387861300670832e+02
3.7906666666666672e-02 4.6574928620663812e+01 2.1278311835703340e+02
3.8903333333333338e-02 4.6363397446000576e+01 2.1169415521467042e+02
3.9900000000000005e-02 4.6152948369140773e+01 2.1061168463777011e+02
4.0896666666666671e-02 4.5943574938451164e+01 2.0953566791662575e+02
4.1893333333333338e-02 4.5735270740764157e+01 2.0846606657234324e+02
4.2890000000000005e-02 4.5528029401148473e+01 2.0740284235545792e+02
4.3886666666666671e-02 4.5321844582681152e+01 2.0634595724452328e+02
4.4883333333333338e-02 4.5116709986220975e+01 2.0529537344479917e+02
4.5880000000000004e-02 4.4912619350183185e+01 2.0425105338688269e+02
4.6876666666666671e-02 4.4709566450315577e+01 2.0321295972536845e+02
4.7873333333333337e-02 4.4507545099475912e+01 2.0218105533751117e+02
4.8870000000000004e-02 4.4306549147410649e+01 2.0115530332187899e+02
4.9866666666666670e-02 4.4106572480535043e+01 2.0013566699706976e+02
5.0863333333333337e-02 4.3907609021714471e+01 1.9912210990039245e+02
5.1860000000000003e-02 4.3709652730047161e+01 1.9811459578651898e+02
5.2856666666666670e-02 4.3512697600648139e+01 1.9711308862623105e+02
5.3853333333333336e-02 4.3316737664434484e+01 1.9611755260517808e+02
5.4850000000000003e-02 4.3121766987911883e+01 1.9512795212244828e+02
5.5846666666666669e-02 4.2927779672962458e+01 1.9414425178943972e+02
5.6843333333333336e-02 4.2734769856633825e+01 1.9316641642855311e+02
5.7840000000000009e-02 4.2542731710929438e+01 1.9219441107188823e+02
5.8836666666666676e-02 4.2351659442600180e+01 1.9122820096006640e+02
