# x energy force
1.0000000000000000e-02 7.6381175651463920e+01 2.1134202270125519e+02
1.0996666666666667e-02 7.6170695632740674e+01 2.1102590784707729e+02
1.1993333333333333e-02 7.5960530146155875e+01 2.1071085453043554e+02
1.2990000000000002e-02 7.5750677726644582e+01 2.1039767960592565e+02
1.3986666666666668e-02 7.5541136507656930e+01 2.1008637187431515e+02
1.4983333333333335e-02 7.5331904633771671e+01 2.0977692020313540e+02
1.5980000000000001e-02 7.5122980260629845e+01 2.0946931352629031e+02
1.6976666666666668e-02 7.4914361554868805e+01 2.0916354084369908e+02
1.7973333333333334e-02 7.4706046694056639e+01 2.0885959122084006e+02
1.8970000000000001e-02 7.4498033866627068e+01 2.0855745378834456e+02
1.9966666666666667e-02 7.4290321271814591e+01 2.0825711774170460e+02
2.0963333333333334e-02 7.4082907119590132e+01 2.0795857234082345e+02
2.1960000000000000e-02 7.3875789630596984e+01 2.0766180690963111e+02
2.2956666666666667e-02 7.3668967036087238e+01 2.0736681083568456e+02
2.3953333333333333e-02 7.3462437577858495e+01 2.0707357356983329e+02
2.4950000000000000e-02 7.3256199508190988e+01 2.0678208462583365e+02
2.5946666666666666e-02 7.3050251089785107e+01 2.0649233357994325e+02
2.6943333333333333e-02 7.2844590595699245e+01 2.0620431007062086e+02
2.7940000000000000e-02 7.2639216309288045e+01 2.0591800379800620e+02
2.8936666666666666e-02 7.2434126524141064e+01 2.0563340452368510e+02
2.9933333333333333e-02 7.2229319544021706e+01 2.0535050207034664e+02
3.0929999999999999e-02 7.2024793682806532e+01 2.0506928632129873e+02
3.1926666666666666e-02 7.1820547264425031e+01 2.0478974722018293e+02
3.2923333333333332e-02 7.1616578622799622e+01 2.0451187477060307e+02
3.3920000000000006e-02 7.1412886101786128e+01 2.0423565903572856e+02
3.4916666666666672e-02 7.1209468055114556e+01 2.0396109013800611e+02
3.5913333333333339e-02 7.1006322846330150e+01 2.0368815825878161e+02
3.6910000000000005e-02 7.0803448848734959e+01 2.0341685363792590e+02
3.7906666666666672e-02 7.0600844445329599e+01 2.0314716657350388e+02
3.8903333333333338e-02 7.0398508028755472e+01 2.0287908742141190e+02
3.9900000000000005e-02 7.0196438001237254e+01 2.0261260659507812e+02
4.0896666666666671e-02 6.9994632774525797e+01 2.0234771456504191e+02
4.1893333333333338e-02 6.9793090769841299e+01 2.0208440185869026e+02
4.2890000000000005e-02 6.9591810417816873e+01 2.0182265905990104e+02
4.3886666666666671e-02 6.9390790158442385e+01 2.0156247680863680e+02
4.4883333333333338e-02 6.9190028441008721e+01 2.0130384580072396e+02
4.5880000000000004e-02 6.8989523724052290e+01 2.0104675678743871e+02
4.6876666666666671e-02 6.8789274475299919e+01 2.0079120057518702e+02
4.7873333333333337e-02 6.8589279171614052e+01 2.0053716802521171e+02
4.8870000000000004e-02 6.8389536298938296e+01 2.0028465005322201e+02
4.9866666666666670e-02 6.8190044352243277e+01 2.0003363762909410e+02
5.0863333333333337e-02 6.7990801835472794e+01 1.9978412177655744e+02
5.1860000000000003e-02 6.7791807261490348e+01 1.9953609357284523e+02
5.2856666666666670e-02 6.7593059152025930e+01 1.9928954414838122e+02
5.3853333333333336e-02 6.7394556037623204e+01 1.9904446468650835e+02
5.4850000000000003e-02 6.7196296457586925e+01 1.9880084642308961e+02
5.5846666666666669e-02 6.6998278959930701e+01 1.9855868064625167e+02
5.6843333333333336e-02 6.6800502101325108e+01 1.9831795869608430e+02
5.7840000000000009e-02 6.6602964447046020e+01 1.9807867196430135e+02
5.8836666666666676e-02 6.6405664570923335e+01 1.9784081189393763e+02
5.9833333333333343e-02 6.6208601055289975e+01 1.9760436997901402e+02
6.0830000000000009e-02 6.6011772490931207e+01 1.9736933776431982e+02
6.1826666666666676e-02 6.5815177477034212e+01 1.9713570684503918e+02
6.2823333333333342e-02 6.5618814621138000e+01 1.9690346886642470e+02
6.3820000000000002e-02 6.5422682539083638e+01 1.9667261552360870e+02
6.4816666666666675e-02 6.5226779854964718e+01 1.9644313856118913e+02
6.5813333333333335e-02 6.5031105201078191e+01 1.9621502977298064e+02
6.6810000000000008e-02 6.4835657217875436e+01 1.9598828100176851e+02
6.7806666666666668e-02 6.4640434553913650e+01 1.9576288413892973e+02
6.8803333333333341e-02 6.4445435865807511e+01 1.9553883112421266e+02
6.9800000000000001e-02 6.4250659818181148e+01 1.9531611394542256e+02
7.0796666666666674e-02 6.4056105083620366e+01 1.9509472463809419e+02
7.1793333333333334e-02 6.3861770342625213e+01 1.9487465528529003e+02
7.2789999999999994e-02 6.3667654283562776e+01 1.9465589801726156e+02
7.3786666666666667e-02 6.3473755602620272e+01 1.9443844501117317e+02
7.4783333333333341e-02 6.3280073003758424e+01 1.9422228849086346e+02
7.5780000000000000e-02 6.3086605198665119e+01 1.9400742072647830e+02
7.6776666666666674e-02 6.2893350906709337e+01 1.9379383403428398e+02
7.7773333333333333e-02 6.2700308854895368e+01 1.9358152077636379e+02
7.8770000000000007e-02 6.2507477777817257e+01 1.9337047336031711e+02
7.9766666666666666e-02 6.2314856417613584e+01 1.9316068423903803e+02
8.0763333333333340e-02 6.2122443523922449e+01 1.9295214591038732e+02
8.1759999999999999e-02 6.1930237853836822e+01 1.9274485091696818e+02
8.2756666666666673e-02 6.1738238171860019e+01 1.9253879184584795e+02
8.3753333333333332e-02 6.1546443249861575e+01 1.9233396132829100e+02
8.4750000000000006e-02 6.1354851867033290e+01 1.9213035203950179e+02
8.5746666666666665e-02 6.1163462809845598e+01 1.9192795669834004e+02
8.6743333333333339e-02 6.0972274872004164e+01 1.9172676806707787e+02
8.7739999999999999e-02 6.0781286854406751e+01 1.9152677895114738e+02
8.8736666666666672e-02 6.0590497565100321e+01 1.9132798219887985e+02
8.9733333333333332e-02 6.0399905819238434e+01 1.9113037070123508e+02
9.0730000000000005e-02 6.0209510439038851e+01 1.9093393739157676e+02
9.1726666666666665e-02 6.0019310253741438e+01 1.9073867524536971e+02
9.2723333333333338e-02 5.9829304099566301e+01 1.9054457727997990e+02
9.3719999999999998e-02 5.9639490819672169e+01 1.9035163655440729e+02
9.4716666666666671e-02 5.9449869264114987e+01 1.9015984616902577e+02
9.5713333333333331e-02 5.9260438289806849e+01 1.8996919926536174e+02
9.6710000000000004e-02 5.9071196760475082e+01 1.8977968902580599e+02
9.7706666666666664e-02 5.8882143546621641e+01 1.8959130867341344e+02
9.8703333333333337e-02 5.8693277525482685e+01 1.8940405147164688e+02
9.9699999999999997e-02 5.8504597580988460e+01 1.8921791072412037e+02
1.0069666666666667e-01 5.8316102603723365e+01 1.8903287977438865e+02
1.0169333333333333e-01 5.8127791490886295e+01 1.8884895200569420e+02
1.0269000000000000e-01 5.7939663146251171e+01 1.8866612084070718e+02
1.0368666666666666e-01 5.7751716480127790e+01 1.8848437974132548e+02
1.0468333333333334e-01 5.7563950409322828e+01 1.8830372220842420e+02
1.0568000000000001e-01 5.7376363857101111e+01 1.8812414178164113e+02
1.0667666666666667e-01 5.7188955753147098e+01 1.8794563203912816e+02
1.0767333333333334e-01 5.7001725033526604e+01 1.8776818659730804e+02
1.0867000000000000e-01 5.6814670640648792e+01 1.8759179911067167e+02
1.0966666666666668e-01 5.6627791523228318e+01 1.8741646327154766e+02
1.1066333333333334e-01 5.6441086636247746e+01 1.8724217280987060e+02
1.1166000000000001e-01 5.6254554940920166e+01 1.8706892149296377e+02
1.1265666666666667e-01 5.6068195404652066e+01 1.8689670312529321e+02
1.1365333333333334e-01 5.5882007001006400e+01 1.8672551154827852e+02
1.1465000000000000e-01 5.5695988709665883e+01 1.8655534064005070e+02
1.1564666666666668e-01 5.5510139516396499e+01 1.8638618431523474e+02
1.1664333333333333e-01 5.5324458413011236e+01 1.8621803652476052e+02
1.1764000000000001e-01 5.5138944397334022e+01 1.8605089125559923e+02
1.1863666666666667e-01 5.4953596473163906e+01 1.8588474253058502e+02
1.1963333333333334e-01 5.4768413650239424e+01 1.8571958440817622e+02
1.2063000000000000e-01 5.4583394944203192e+01 1.8555541098225910e+02
1.2162666666666667e-01 5.4398539376566688e+01 1.8539221638195946e+02
1.2262333333333333e-01 5.4213845974675280e+01 1.8522999477137466e+02
1.2362000000000001e-01 5.4029313771673429e+01 1.8506874034939941e+02
1.2461666666666667e-01 5.3844941806470132e+01 1.8490844734952819e+02
1.2561333333333335e-01 5.3660729123704535e+01 1.8474911003962305e+02
1.2661000000000000e-01 5.3476674773711800e+01 1.8459072272173066e+02
1.2760666666666667e-01 5.3292777812489085e+01 1.8443327973187743e+02
1.2860333333333335e-01 5.3109037301661843e+01 1.8427677543984575e+02
1.2960000000000002e-01 5.2925452308450240e+01 1.8412120424898251e+02
1.3059666666666667e-01 5.2742021905635823e+01 1.8396656059600426e+02
1.3159333333333334e-01 5.2558745171528322e+01 1.8381283895081546e+02
1.3259000000000001e-01 5.2375621189932716e+01 1.8366003381628332e+02
1.3358666666666669e-01 5.2192649050116465e+01 1.8350813972803542e+02
1.3458333333333333e-01 5.2009827846776943e+01 1.8335715125428845e+02
1.3558000000000001e-01 5.1827156680009061e+01 1.8320706299563773e+02
1.3657666666666668e-01 5.1644634655273101e+01 1.8305786958487852e+02
1.3757333333333335e-01 5.1462260883362703e+01 1.8290956568681895e+02
1.3857000000000003e-01 5.1280034480373075e+01 1.8276214599805485e+02
1.3956666666666670e-01 5.1097954567669390e+01 1.8261560524679140e+02
1.4056333333333335e-01 5.0916020271855380e+01 1.8246993819269434e+02
1.4156000000000002e-01 5.0734230724742069e+01 1.8232513962666323e+02
1.4255666666666669e-01 5.0552585063316741e+01 1.8218120437065028e+02
1.4355333333333337e-01 5.0371082429712089e+01 1.8203812727748220e+02
1.4455000000000001e-01 5.0189721971175530e+01 1.8189590323067517e+02
1.4554666666666669e-01 5.0008502840038695e+01 1.8175452714423798e+02
1.4654333333333336e-01 4.9827424193687165e+01 1.8161399396251184e+02
1.4754000000000003e-01 4.9646485194530278e+01 1.8147429865999956e+02
1.4853666666666668e-01 4.9465685009971210e+01 1.8133543624114512e+02
1.4953333333333335e-01 4.9285022812377186e+01 1.8119740174017895e+02
1.5053000000000002e-01 4.9104497779049900e+01 1.8106019022092272e+02
1.5152666666666670e-01 4.8924109092196105e+01 1.8092379677665753e+02
1.5252333333333334e-01 4.8743855938898335e+01 1.8078821652991741e+02
1.5352000000000002e-01 4.8563737511085833e+01 1.8065344463229255e+02
1.5451666666666669e-01 4.8383753005505696e+01 1.8051947626430086e+02
1.5551333333333336e-01 4.8203901623694115e+01 1.8038630663518575e+02
1.5651000000000001e-01 4.8024182571947847e+01 1.8025393098274481e+02
1.5750666666666668e-01 4.7844595061295806e+01 1.8012234457318300e+02
1.5850333333333336e-01 4.7665138307470869e+01 1.7999154270093803e+02
1.5950000000000003e-01 4.7485811530881804e+01 1.7986152068848145e+02
1.6049666666666668e-01 4.7306613956585437e+01 1.7973227388617602e+02
1.6149333333333335e-01 4.7127544814258890e+01 1.7960379767210748e+02
1.6249000000000002e-01 4.6948603338172077e+01 1.7947608745192429e+02
1.6348666666666670e-01 4.6769788767160293e+01 1.7934913865867770e+02
1.6448333333333334e-01 4.6591100344596995e+01 1.7922294675262580e+02
1.6548000000000002e-01 4.6412537318366759e+01 1.7909750722109385e+02
1.6647666666666669e-01 4.6234098940838379e+01 1.7897281557832810e+02
1.6747333333333336e-01 4.6055784468838134e+01 1.7884886736530760e+02
1.6847000000000001e-01 4.5877593163623210e+01 1.7872565814960137e+02
1.6946666666666668e-01 4.5699524290855258e+01 1.7860318352521142e+02
1.7046333333333336e-01 4.5521577120574186e+01 1.7848143911239390e+02
1.7146000000000003e-01 4.5343750927172010e+01 1.7836042055751858e+02
1.7245666666666670e-01 4.5166044989366931e+01 1.7824012353293890e+02
1.7345333333333335e-01 4.4988458590177530e+01 1.7812054373677594e+02
1.7445000000000002e-01 4.4810991016897113e+01 1.7800167689281372e+02
1.7544666666666670e-01 4.4633641561068274e+01 1.7788351875034178e+02
1.7644333333333337e-01 4.4456409518457505e+01 1.7776606508396765e+02
1.7744000000000001e-01 4.4279294189030061e+01 1.7764931169352002e+02
1.7843666666666669e-01 4.4102294876924873e+01 1.7753325440384882e+02
1.7943333333333336e-01 4.3925410890429710e+01 1.7741788906470364e+02
1.8043000000000003e-01 4.3748641541956424e+01 1.7730321155058158e+02
1.8142666666666668e-01 4.3571986148016371e+01 1.7718921776057024e+02
1.8242333333333335e-01 4.3395444029195943e+01 1.7707590361821144e+02
1.8342000000000003e-01 4.3219014510132311e+01 1.7696326507135521e+02
1.8441666666666670e-01 4.3042696919489238e+01 1.7685129809200694e+02
1.8541333333333335e-01 4.2866490589933100e+01 1.7673999867617485e+02
1.8641000000000002e-01 4.2690394858108995e+01 1.7662936284376147e+02
1.8740666666666669e-01 4.2514409064617055e+01 1.7651938663838931e+02
1.8840333333333337e-01 4.2338532553988834e+01 1.7641006612726636e+02
1.8940000000000001e-01 4.2162764674663890e+01 1.7630139740105395e+02
1.9039666666666669e-01 4.1987104778966462e+01 1.7619337657371997e+02
1.9139333333333336e-01 4.1811552223082330e+01 1.7608599978239602e+02
1.9239000000000003e-01 4.1636106367035794e+01 1.7597926318724308e+02
1.9338666666666668e-01 4.1460766574666778e+01 1.7587316297133029e+02
1.9438333333333335e-01 4.1285532213608057e+01 1.7576769534048418e+02
1.9538000000000003e-01 4.1110402655262689e+01 1.7566285652313209e+02
1.9637666666666670e-01 4.0935377274781516e+01 1.7555864277019217e+02
1.9737333333333335e-01 4.0760455451040819e+01 1.7545505035495623e+02
1.9837000000000002e-01 4.0585636566620096e+01 1.7535207557291028e+02
1.9936666666666669e-01 4.0410920007780007e+01 1.7524971474164906e+02
2.0036333333333337e-01 4.0236305164440395e+01 1.7514796420071053e+02
2.0136000000000004e-01 4.0061791430158500e+01 1.7504682031144563e+02
2.0235666666666668e-01 3.9887378202107264e+01 1.7494627945692395e+02
2.0335333333333336e-01 3.9713064881053754e+01 1.7484633804176048e+02
2.0435000000000003e-01 3.9538850871337750e+01 1.7474699249201612e+02
2.0534666666666671e-01 3.9364735580850457e+01 1.7464823925505573e+02
2.0634333333333335e-01 3.9190718421013308e+01 1.7455007479942719e+02
2.0734000000000002e-01 3.9016798806756917e+01 1.7445249561473895e+02
2.0833666666666670e-01 3.8842976156500171e+01 1.7435549821150710e+02
2.0933333333333337e-01 3.8669249892129429e+01 1.7425907912108119e+02
