Epoch,TrainLoss,ValLoss,MaeE,MaeF
1,2195.47,278.448,1.98267,2.19711
2,250.022,203.549,1.04448,1.85061
3,146.855,144.832,2.4703,1.54739
4,110.52,93.2336,2.79223,1.23734
5,94.0443,96.5343,3.81086,1.23559
6,80.4314,77.8968,0.84941,1.13924
7,60.7241,62.1618,3.18326,0.982005
8,59.7811,85.7239,0.372626,1.21052
9,54.8762,36.4545,0.272749,0.803821
10,44.4549,46.9265,1.27188,0.926868
11,52.9195,34.4111,1.04748,0.750676
12,40.0016,164.11,3.02681,1.64147
13,38.5916,25.4716,0.305937,0.676899
14,42.2932,29.5282,1.78712,0.70054
15,26.8718,30.55,0.622898,0.726955
16,30.1381,29.6188,1.12032,0.715803
17,28.1413,22.2607,0.208291,0.638555
18,25.3556,23.6767,0.92749,0.650124
19,29.4284,59.6443,0.793659,1.0264
20,48.7091,71.9764,2.43559,1.14161
21,25.9625,12.7369,0.380939,0.468236
22,18.4748,11.3376,0.434112,0.437765
23,20.5888,16.3206,0.521973,0.527071
24,33.0148,24.2818,1.55136,0.60094
25,14.8977,12.6325,0.249477,0.463324
26,18.9918,18.2723,0.946455,0.57044
27,6.50012,7.01284,0.131263,0.341714
28,6.1543,6.53564,0.414368,0.321004
29,6.53241,7.06448,0.182246,0.340413
30,6.30046,8.67336,0.165873,0.374948
31,7.1995,7.28351,0.152508,0.35112
32,8.10475,9.27705,0.84444,0.377382
33,4.32769,4.90499,0.271671,0.275779
34,4.25564,4.86354,0.157453,0.278348
35,4.35546,6.7721,0.103753,0.331262
36,4.4734,5.41605,0.378634,0.294611
37,4.53122,6.80377,0.0835949,0.337836
38,4.56897,7.04111,0.322503,0.345192
39,3.23405,4.05794,0.0652352,0.252359
40,3.17482,4.44133,0.0713586,0.264848
41,3.12777,4.61718,0.0859014,0.272745
42,3.2224,3.9014,0.147701,0.246943
43,3.25391,4.56119,0.317242,0.267457
44,3.31936,3.71895,0.0757362,0.241701
45,3.17733,3.86731,0.230474,0.244293
46,3.25001,4.20902,0.0824902,0.259654
47,3.22806,3.87664,0.170701,0.247165
48,3.28721,4.18429,0.0928033,0.260795
49,2.41935,3.16573,0.173411,0.218433
50,2.46427,3.18072,0.0501667,0.219158
51,2.42349,3.17477,0.0924025,0.220374
52,2.43466,3.26305,0.113362,0.223937
53,2.38282,3.20606,0.10293,0.220928
54,2.13328,3.11463,0.0923476,0.217383
55,2.09007,2.97478,0.0460852,0.211996
56,2.08602,3.02122,0.0434196,0.215156
57,2.13487,2.98648,0.0747285,0.214073
58,2.09218,2.94247,0.091731,0.211841
59,2.06593,2.97073,0.179424,0.210713
60,2.07723,2.89189,0.087107,0.209751
61,2.10377,3.15672,0.137631,0.220373
62,2.09002,3.15203,0.0458188,0.221556
63,2.05537,2.86244,0.0408009,0.207408
64,2.007,2.73836,0.0389698,0.202158
65,1.99971,2.90561,0.0412531,0.210306
66,2.03396,2.76411,0.13431,0.203738
67,1.99927,2.73016,0.119574,0.201752
68,1.97038,2.79811,0.0461103,0.206082
69,1.95576,2.75312,0.144699,0.203852
70,1.93644,2.75028,0.0782441,0.20302
71,1.92427,2.76403,0.0434944,0.205878
72,1.76402,2.56705,0.0405506,0.194624
73,1.76554,2.57242,0.0869647,0.194162
74,1.75835,2.6096,0.0699844,0.196372
75,1.74274,2.48707,0.0595804,0.191458
76,1.74549,2.54048,0.0465471,0.194784
77,1.73838,2.57476,0.0505466,0.196484
78,1.74216,2.47557,0.0459793,0.191515
79,1.73213,2.55791,0.0615846,0.195312
80,1.72878,2.49538,0.11838,0.192311
81,1.71855,2.42992,0.0508111,0.18908
82,1.70338,2.4398,0.0358553,0.189656
83,1.71487,2.54988,0.0773787,0.194537
84,1.70838,2.49248,0.0531936,0.192991
85,1.6789,2.40763,0.0555345,0.188666
86,1.67577,2.45753,0.0604079,0.190226
87,1.65535,2.45175,0.0417947,0.191624
88,1.66318,2.49516,0.0599799,0.192168
89,1.6531,2.39503,0.0622725,0.187667
90,1.64952,2.40443,0.0342698,0.188123
91,1.64204,2.55248,0.0883924,0.195213
92,1.63999,2.36134,0.0385889,0.186211
93,1.64056,2.36631,0.154254,0.185217
94,1.62479,2.4261,0.0474972,0.188856
95,1.62222,2.37848,0.0376851,0.188491
96,1.59534,2.35898,0.0531783,0.186628
97,1.58198,2.36512,0.0912592,0.186287
98,1.58697,2.34654,0.100282,0.186278
99,1.60038,2.34947,0.0788841,0.186808
100,1.58244,2.313,0.0526767,0.184882
